E100	Curcumine, Turmérique	(Turmérique)
E500	Carbonates de sodium, Carbonate de sodium, Carbonate acide de sodium, bicarbonate de sodium / bicarbonate de soude, Sesquicarbonate de sodium	(Sesquicarbonate de sodium, régulateur de l’acidité, agent levant, anti-agglomérant)
E501	Carbonates de potassium, Carbonate de potassium, Carbonate acide de potassium, bicarbonate de potassium	(Carbonate acide de potassium (bicarbonate de potassium))
E502	Carbonates	(Carbonates)
E503	Carbonates d'ammonium, Carbonate d'ammonium, Carbonate acide d'ammonium, bicarbonate d'ammonium	(Carbonate acide d'ammonium (bicarbonate d'ammonium))
E504	Carbonates de magnésium, Carbonate de magnésium, Carbonate acide de magnésium, bicarbonate de magnésium	(Carbonate acide de magnésium (bicarbonate de magnésium))
E505	Carbonate de fer	(Carbonate de fer)
E507	Acide chlorhydrique	(Acide chlorhydrique)
E508	Chlorure de potassium	(Chlorure de potassium)
E509	Chlorure de calcium	(Chlorure de calcium)
E510	Chlorure d'ammonium	(Chlorure d'ammonium)
E511	Chlorure de magnésium	(Chlorure de magnésium)
E512	Chlorure stanneux	(Chlorure stanneux)
E513	Acide sulfurique	(Acide sulfurique)
E514	Sulfate de sodium, Hydrogénosulfate de sodium	(Hydrogénosulfate de sodium)
E515	Sulfate de potassium	(Sulfate de potassium)
E516	Sulfate de calcium, gypse, Plâtre de Paris	(Sulfate de calcium, gypse, Plâtre de Paris)
E517	Sulfate d'ammonium	(Sulfate d'ammonium, Stabilisateur)
E518	Sulfate de magnésium	(Sulfate de magnésium)
E519	Sulfate de cuivre	(Sulfate de cuivre)
E520	Sulfate d'aluminium	(Sulfate d'aluminium)
E521	Sulfate d'aluminium sodique	(Sulfate d'aluminium sodique)
E522	Sulfate d'aluminium potassique	(Sulfate d'aluminium potassique)
E523	Sulfate d'aluminium ammonique	(Sulfate d'aluminium ammonique)
E524	Hydroxyde de sodium	(Hydroxyde de sodium)
E525	Hydroxyde de potassium	(Hydroxyde de potassium)
E526	Hydroxyde de calcium	(Hydroxyde de calcium)
E527	Hydroxyde d'ammonium	(Hydroxyde d'ammonium)
E528	Hydroxyde de magnésium	(Hydroxyde de magnésium)
E529	Oxyde de calcium, chaux vive	(Oxyde de calcium, chaux vive)
E530	Oxyde de magnésium Périclase	(Oxyde de magnésium Périclase)
E535	Ferrocyanure de sodium, Prussiate jaune de sodium	(Ferrocyanure de sodium (Prussiate jaune de sodium))
E536	Ferrocyanure de potassium	(Ferrocyanure de potassium)
E537	Hexacyanomanganate de fer	(Hexacyanomanganate de fer)
E538	Ferrocyanure de calcium	(Ferrocyanure de calcium)
E539	Thiosulfate de sodium	(Thiosulfate de sodium, Anti-oxydant)
E540	Phosphate acide de calcium	(Phosphate acide de calcium)
E541	Phosphate d'aluminium et de sodium, Phosphate de sodium-aluminium	(Phosphate de sodium-aluminium (basique), régulateur de l’acidité, émulsifiant)
E542	Phosphate d'os comestible	(Phosphate d'os comestible)
E543	Polyphosphate de sodium de calcium	(Polyphosphate de sodium de calcium, Emulsifiant)
E544	Polyphosphate de calcium	(Polyphosphate de calcium)
E545	Polyphosphate d'ammonium	(Polyphosphate d'ammonium)
E546	Pyrophosphate de magnésium	(Pyrophosphate de magnésium)
E550	Silicate de sodium, Métasilicate de sodium	(Métasilicate de sodium, anti-agglomérant)
E551	Dioxyde de silicium	(Dioxyde de silicium)
E552	Silicate de calcium	(Silicate de calcium)
E553	Silicate de magnésium, Trisilicate de magnésium, Talc	(Talc, anti-agglomérant, poudre pour pulvérisation sèche, agent d’enrobage, agent de finition superficielle, agent de texture)
E553a	Silicate de magnésium, Trisilicate de magnésium	(Trisilicate de magnésium)
E553b	Talc	(Talc)
E554	Silicate alumino-sodique	(Silicate alumino-sodique)
E555	Silicate alumino-potassique	(Silicate alumino-potassique)
E556	Silicate alumino-calcique	(Silicate alumino-calcique)
E557	Silicate de zinc	(Silicate de zinc)
E558	Bentonite	(Bentonite)
E559	Silicate d'aluminium, Kaolin	(Silicate d'aluminium (Kaolin))
E560	Silicate de potassium	(Silicate de potassium, anti-agglomérant)
E570	Acide stéarique, Stéarine	(Acide stéarique, Stéarine)
E571	Stearate d'ammonium	(Stearate d'ammonium, Agent anti-coagulant)
E572	Stéarate de magnésium	(Stéarate de magnésium)
E573	Stéarate d'aluminium	(Stéarate d'aluminium)
E574	Acide gluconique	(Acide gluconique)
E575	Glucono-delta-lactone	(Glucono-delta-lactone)
E576	Gluconate de sodium	(Gluconate de sodium)
E577	Gluconate de potassium	(Gluconate de potassium)
E578	Gluconate de calcium	(Gluconate de calcium)
E579	Gluconate ferreux	(Gluconate ferreux)
E580	Gluconate de magnésium	(Gluconate de magnésium, régulateur de l’acidité, affermissant, exaltateur d’arôme)
E585	Lactate ferreux	(Lactate ferreux)
E586	Héxylresorcinol, agent de rétention de la couleur	(Héxylresorcinol, 4-, agent de rétention de la couleur, antioxydant)
E620	Acide glutamique	(Acide glutamique)
E621	Glutamate monosodique	(Glutamate monosodique)
E622	Glutamate monopotassique	(Glutamate monopotassique)
E623	Diglutamate de calcium	(Diglutamate de calcium)
E624	Glutamate d'ammonium	(Glutamate d'ammonium)
E625	Diglutamate de magnésium	(Diglutamate de magnésium)
E626	Acide guanylique, Guanosine monophosphate	(Acide guanylique (Guanosine monophosphate))
E627	Guanylate disodique	(Guanylate disodique)
E628	Guanylate dipotassique	(Guanylate dipotassique)
E629	Guanylate de calcium	(Guanylate de calcium)
E630	Acide inosinique	(Acide inosinique)
E631	Inosinate disodique	(Inosinate disodique)
E632	Inosinate dipotassique	(Inosinate dipotassique)
E633	Inosinate de calcium	(Inosinate de calcium)
E634	5'-ribonucléotide calcique	(5'-ribonucléotide calcique)
E635	5'-ribonucléotide disodique	(5'-ribonucléotide disodique)
E636	Maltol	(Maltol)
E637	Éthyl-maltol	(Éthyl-maltol)
E638	Aspartame de sodium	(Aspartame de sodium, L-, exaltateur d’arôme)
E639	Alanine	(Alanine, DL-, exaltateur d’arôme)
E640	Glycine et son sel de sodium	(Glycine et son sel de sodium)
E641	L-leucine	(L-leucine)
E642	Hydrochlorure de lysine	(Hydrochlorure de lysine, exaltateur d’arôme)
E650	Acétate de zinc	(Acétate de zinc, exaltateur d’arôme)
E710	Spiramycines Antibiotique	(Spiramycines Antibiotique)
E713	Tylosine Antibiotique	(Tylosine Antibiotique)
E900	Polydiméthylsiloxane, Diméthicone	(Polydiméthylsiloxane (Diméthicone))
E900a	Polydiméthylsiloxane	(Polydiméthylsiloxane, antimoussant, anti-agglomérant, émulsifiant)
E900b	Méthylphenylpolisiloxane	(Méthylphenylpolisiloxane, antimoussant)
E901	Cire d'abeille blanchâtre, Cire d'abeille jaunâtre	(Cire d'abeille blanchâtre, Cire d'abeille jaunâtre)
E902	Cire de Candelilla	(Cire de Candelilla)
E903	Cire de carnauba, Cire d'abeille jaunâtre	(Cire de carnauba, Cire d'abeille jaunâtre)
E904	Gomme laque, ou Shellac	(Gomme laque (ou Shellac))
E905	Paraffine	(Huile minérale, Paraffine)
E905a	Huile minérale de qualité alimentaire	(Huile minérale de qualité alimentaire, agent de glaçage, agent de conditionnement hermétique)
E905b	Vaseline, Petrolatum	(Vaseline (Petrolatum), agent de glaçage, agent de conditionnement hermétique, antimoussant)
E905c	Cire de pétrole, Cire microcristalline, Cire de paraffine	(Cire de paraffine, agent de glaçage)
E905d		(Huile minérale, viscosité élevée agent de glaçage, agent de conditionnement hermétique)
E905e	catégorie I	(Huile minérale, viscosité moyenne et faible (catégorie I), agent de glaçage, agent de conditionnement hermétique)
E905f		(Huile minérale, viscosité moyenne et faible (catégorie II), agent de glaçage, agent de conditionnement hermétique)
E905g		(Huile minérale, viscosité moyenne et faible (catégorie III), agent de glaçage, agent de conditionnement hermétique)
E906	Gomme benzoique	(Gomme benzoique)
E907	Poly-1-décène hydrogéné	(Poly-1-décène hydrogéné)
E908	Cire de son de riz	(Cire de son de riz)
E909	Cire de blanc de baleine	(Cire de blanc de baleine, agent de glaçage)
E910	Esters de cires	(Esters de cires, agent de glaçage)
E911	Esters méthyliques d'acides gras	(Esters méthyliques d'acides gras, agent de glaçage)
E912	Ester de l'acide montanique	(Ester de l'acide montanique)
E913	Lanoline	(Lanoline)
E914	Cire de polyéthylène oxydée	(Cire de polyéthylène oxydée)
E915	Esters de colophane	(Esters de colophane)
E916	Iodate de calcium	(Iodate de calcium, agent de traitement des farines)
E917	Iodate de potassium	(Iodate de potassium, agent de traitement des farines)
E918	Oxydes d'azote	(Oxydes d'azote, agent de traitement des farines)
E919	Chlorure de nitrosyle	(Chlorure de nitrosyle, agent de traitement des farines)
E920	L-Cystéine et ses chlorhydrates	(L-Cystéine et ses chlorhydrates)
E921	Cystine	(Cystine)
E922	Persulfate de potassium	(Persulfate de potassium)
E923	Persulfate d'ammonium	(Persulfate d'ammonium)
E924	Bromate de potassium	(Bromate de potassium)
E924a	Bromate de potassium	(Bromate de potassium, agent de traitement des farines)
E924b	Bromate de calcium	(Bromate de calcium, agent de traitement des farines)
E925	Chlore	(Chlore)
E926	Dioxyde de chlore	(Dioxyde de chlore)
E927	Azoformamide, Azodicarbonamide	(Azoformamide, Azodicarbonamide)
E927a	Azoformamide	(Azoformamide)
E927b	Carbamide, Urée	(Carbamide, Urée)
E928	peroxyde de benzoyle	(peroxyde de benzoyle)
E929	Peroxyde d’acétone	(Peroxyde d’acétone, agent de traitement des farines)
E930	peroxyde de Calcium	(peroxyde de Calcium)
E931	Nitrogène	(Diazote, Nitrogène (anc.))
E932	Oxyde d'azote	(Oxyde d'azote)
E938	Argon	(Argon)
E939	Hélium	(Hélium)
E940	Dichlorodifluorométhane	(Dichlorodifluorométhane)
E941		(Diazote)
E942	Protoxyde d'azote	(Protoxyde d'azote)
E943a	Butane	(Butane)
E943b	Isobutane	(Isobutane)
E944	Propane	(Propane)
E945	Chloropentafluoroéthane	(Chloropentafluoroéthane)
E946	Octafluorocyclobutane	(Octafluorocyclobutane)
E948	Dioxygène	(Dioxygène)
E949	Dihydrogène	(Dihydrogène)
E950	Acésulfame K	(Acésulfame K)
E951	Aspartame	(Aspartame)
E952	Acide cyclamique et ses sels, cyclamates, Acide cyclamique, Cyclamate de calcium, Cyclamate de potassium, Cyclamate de sodium	(Cyclamate de sodium, édulcorant)
E953	Isomalt	(Isomalt)
E954	Saccharine et ses sels, saccharinates, Saccharine, Saccharine de calcium, Saccharine de potassium, Saccharine de sodium	(Saccharine de sodium, édulcorant)
E955	Sucralose	(Sucralose)
E956	Alitame	(Alitame)
E957	Thaumatine	(Thaumatine)
E958	Acide glycyrrhizique et sels, Glycyrrhizine, Liquorice	(Acide glycyrrhizique et sels, Glycyrrhizine, Liquorice)
E959	Néohespéridine dihydrochalcone, NHDC	(Néohespéridine dihydrochalcone (NHDC))
E960	Glucosides de stéviol, stévioside et rébaudioside A, extrait de stévia	(Glucosides de stéviol (stévioside et rébaudioside A), extrait de stévia, édulcorant)
E961	Néotame	(Néotame)
E962	Sel d'aspartame-acésulfame	(Sel d'aspartame-acésulfame)
E963	Tagatose	(Tagatose, D-, édulcorant)
E964	Sirop de polyglycitol	(Sirop de polyglycitol, édulcorant)
E965	Maltitol, Sirop de maltitol	(Sirop de maltitol)
E966	Lactitol	(Lactitol)
E967	Xylitol	(Xylitol)
E968	Érythritol	(Érythritol)
E999	Extraits de quillaia, Extrait de quillaia de type 1, Extrait de quillaia de type 2	(Extrait de quillaia de type 2, agent moussant, émulsifiant)
