[Produit] EAN	[Produit] Secteur	[Produit] Nomenclature
3560070332847	LIQUIDES	Jus de pomme à base de concentré
3560070333066	LIQUIDES	Jus multifruits à base de concentré
3560070333066	LIQUIDES	Jus multifruits à base de concentré
3560070333127	LIQUIDES	Jus d'orange à base de concentré
3560070333127	LIQUIDES	Jus d'orange à base de concentré
3560070334940	EPICERIE	Conserves de Haricots verts
3560070334940	EPICERIE	Conserves de Haricots verts
3560070335060	EPICERIE	Conserves de Tomates pelées
3560070335060	EPICERIE	Conserves de Tomates pelées
3560070335060	EPICERIE	Conserves de Tomates pelées
3560070335060	EPICERIE	Conserves de Tomates pelées
3560070335060	EPICERIE	Conserves de Tomates pelées
3560070335121	EPICERIE	Conserves de Tomates - Concentré
3560070335121	EPICERIE	Conserves de Tomates - Concentré
3560070336548	PRODUITS FRAIS	Glaces Batonnets
3560070336548	PRODUITS FRAIS	Glaces Batonnets
3560070336548	PRODUITS FRAIS	Glaces Batonnets
3560070336548	PRODUITS FRAIS	Glaces Batonnets
3560070336630	PRODUITS FRAIS	Glaces Batonnets
3560070336630	PRODUITS FRAIS	Glaces Batonnets
3560070339204	LIQUIDES	Sirops concentrés à base de fruits
3560070339228	LIQUIDES	Sirops concentrés à base de plantes
3560070339433	EPICERIE	Autre pdt confiserie de sucre
3560070339433	EPICERIE	Autre pdt confiserie de sucre
3560070339464	EPICERIE	Bonbons durs aux plantes
3560070340224	EPICERIE	Moutardes
3560070340316	EPICERIE	Huiles Tournesol
3560070340316	EPICERIE	Huiles Tournesol
3560070340316	EPICERIE	Huiles Tournesol
3560070342167	EPICERIE	Biscuits sucrés Secs
3560070342167	EPICERIE	Biscuits sucrés Secs
3560070342464	EPICERIE	Biscuits sucrés Fourres
3560070342464	EPICERIE	Biscuits sucrés Fourres
3560070342495	EPICERIE	Biscuits sucrés Fourres
3560070343393	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070343607	PRODUITS FRAIS	Libre service - Poulets
3560070344628	EPICERIE	Conserves Artichauts
3560070344970	PRODUITS FRAIS	Pains hamburgers et hot-dogs
3560070345250	PRODUITS FRAIS	Salades
3560070711994	PRODUITS FRAIS	Feuilletés/croissants/pains chocolat
3560070711994	PRODUITS FRAIS	Feuilletés/croissants/pains chocolat
3560070348503	PRODUITS FRAIS	Pizzas surgelées - Cuite sur pierre
3560070348596	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070348596	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070349319	PRODUITS FRAIS	Salades
3560070349647	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349647	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349647	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349692	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349692	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349692	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349692	PRODUITS FRAIS	Crèmes fraiches epaisses
3560070349746	PRODUITS FRAIS	Camemberts
3560070349746	PRODUITS FRAIS	Camemberts
3560070350889	EPICERIE	Conserves Chataîgnes
3560070715619	EPICERIE	Conserves Chataîgnes
3560070715619	EPICERIE	Conserves Chataîgnes
3560070354504	PRODUITS FRAIS	Fromages  blanc  aromatises / fruits
3560070354771	PRODUITS FRAIS	Fromages  blanc  aromatises / fruits
3560070354924	PRODUITS FRAIS	Plat cuis./prépar.pate légume
3560070355143	LIQUIDES	Autres boissons non-gazeifiees Au thé
3560070356362	PRODUITS FRAIS	Fromage italien
3560070356393	PRODUITS FRAIS	Fromage italien
3560070357062	PRODUITS FRAIS	Légumes cuisines/ Purées / Gratins
3560070357932	PRODUITS FRAIS	Autres découpes de porc
3560070361946	EPICERIE	Cafés solubles
3560070361991	EPICERIE	Cafés moulus
3560070361991	EPICERIE	Cafés moulus
3560070361991	EPICERIE	Cafés moulus
3560070361991	EPICERIE	Cafés moulus
3560070362035	EPICERIE	Cafés moulus
3560070362127	EPICERIE	Cafés moulus
3560070362127	EPICERIE	Cafés moulus
3560070362127	EPICERIE	Cafés moulus
3560070362127	EPICERIE	Cafés moulus
3560070730636	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070730636	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070364824	EPICERIE	Conserves de Tomates - Concentré
3560070364824	EPICERIE	Conserves de Tomates - Concentré
3560070368082	EPICERIE	Confiserie et chocolats noel
3560070368341	EPICERIE	Confiserie et chocolats noel
3560070368372	EPICERIE	Confiserie et chocolats noel
3560070368402	EPICERIE	Confiserie et chocolats noel
3560070368433	EPICERIE	Confiserie et chocolats noel
3560070368464	EPICERIE	Confiserie et chocolats noel
3560070368495	EPICERIE	Confiserie et chocolats noel
3560070370122	PRODUITS FRAIS	Salades
3560070370153	PRODUITS FRAIS	Salades
3560070370313	PRODUITS FRAIS	Salades
3560070370436	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070738335	EPICERIE	Conserves de Petits pois
3560070738335	EPICERIE	Conserves de Petits pois
3560070738335	EPICERIE	Conserves de Petits pois
3560070738335	EPICERIE	Conserves de Petits pois
3560070738335	EPICERIE	Conserves de Petits pois
3560070372591	PRODUITS FRAIS	Yaourts sante et biologique aromatisé
3560070372997	PFT	Sachet/Barquettes Monovarietes
3560070372997	PFT	Sachet/Barquettes Monovarietes
3560070738366	EPICERIE	Conserves de Petits pois
3560070738366	EPICERIE	Conserves de Petits pois
3560070738366	EPICERIE	Conserves de Petits pois
3560070738366	EPICERIE	Conserves de Petits pois
3560070738366	EPICERIE	Conserves de Petits pois
3560070741670	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070741670	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070742332	PRODUITS FRAIS	Emincés alumettes de viande
3560070742332	PRODUITS FRAIS	Emincés alumettes de viande
3560070378906	PRODUITS FRAIS	Poitrine de porc
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379514	PRODUITS FRAIS	Emmentals blocs
3560070379736	EPICERIE	Produits diététiques Autres salés
3560070379736	EPICERIE	Produits diététiques Autres salés
3560070382828	PRODUITS FRAIS	Saucissons cuits
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384181	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070384259	PFT	Sachet/Barquettes Monovarietes
3560070386352	EPICERIE	Conserves  - Autres plats cuisines
3560070386536	EPICERIE	Barres céréalières
3560070386567	EPICERIE	Barres céréalières
3560070386734	PRODUITS FRAIS	Autres saucisses
3560070386826	PRODUITS FRAIS	Foie gras
3560070387427	EPICERIE	Produits diététiques Autres sucrés
3560070752157	EPICERIE	Conserves de Haricots verts
3560070390953	PRODUITS FRAIS	Traiteur sucré
3560070390984	PRODUITS FRAIS	Traiteur sucré
3560070391011	PRODUITS FRAIS	Traiteur sucré
3560070391042	PRODUITS FRAIS	Traiteur sucré
3560070752157	EPICERIE	Conserves de Haricots verts
3560070753895	PRODUITS FRAIS	Raclette
3560070753895	PRODUITS FRAIS	Raclette
3560070753895	PRODUITS FRAIS	Raclette
3560070393350	PRODUITS FRAIS	Préparation pommes de terres
3560070393350	PRODUITS FRAIS	Préparation pommes de terres
3560070394791	LIQUIDES	Tequilas
3560070394791	LIQUIDES	Tequilas
3560070394975	PFT	Salade Sachet/Barquettes Autre
3560070394975	PFT	Salade Sachet/Barquettes Autre
3560070394975	PFT	
3560070395750	EPICERIE	Conserves de Haricots verts cueillis et rangés main
3560070396511	EPICERIE	Mayonnaise
3560070398287	PRODUITS FRAIS	Raclette
3560070398287	PRODUITS FRAIS	Raclette
3560070400003	PRODUITS FRAIS	Pains de mie élaboré
3560070400034	PRODUITS FRAIS	Pains de mie élaboré
3560070400065	PRODUITS FRAIS	Autres produits de panification industrielles
3560070400096	PRODUITS FRAIS	Autres produits de panification industrielles
3560070400126	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070400188	PRODUITS FRAIS	Pains de mie élaboré
3560070400218	PRODUITS FRAIS	Pains de mie élaboré
3560070756568	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070401734	PRODUITS FRAIS	Pates natures
3560070403073	PRODUITS FRAIS	Patisseries industrielles - Madeleines
3560070405923	PRODUITS FRAIS	Autres saucisses
3560070405954	PRODUITS FRAIS	Autres saucisses
3560070406135	LIQUIDES	Rhums blancs
3560070407118	EPICERIE	Autres Aliments infantiles hors lait
3560070410774	PFT	Aide patisserie
3560070410897	PFT	Fruits moelleux
3560070410927	PFT	Fruits Secs Aperitif
3560070410927	PFT	Fruits Secs Aperitif
3560070411405	PRODUITS FRAIS	Jambons crus
3560070412150	EPICERIE	Confitures de fruits rouges
3560070415663	EPICERIE	Cafés en grains
3560070773275	PRODUITS FRAIS	Oeufs
3560070773275	PRODUITS FRAIS	Oeufs
3560070773275	PRODUITS FRAIS	Oeufs
3560070773275	PRODUITS FRAIS	Oeufs
3560070773275	PRODUITS FRAIS	Oeufs
3560070774425	PRODUITS FRAIS	Glaces Batonnets
3560070774425	PRODUITS FRAIS	Glaces Batonnets
3560070776177	EPICERIE	,Chocolat tablette - amande,,noisette,,riz,
3560070776177	EPICERIE	,Chocolat tablette - amande,,noisette,,riz,
3560070776207	EPICERIE	,Chocolat tablette - amande,,noisette,,riz,
3560070776207	EPICERIE	,Chocolat tablette - amande,,noisette,,riz,
3560070421398	EPICERIE	Conserves de Haricots verts cueillis et rangés main
3560070423088	LIQUIDES	Nectars - Autres fruits
3560070423088	LIQUIDES	Autres boissons non-gazeifiees Aux fruits
3560070423309	PRODUITS FRAIS	Fromage hollandais
3560070423309	PRODUITS FRAIS	Fromage hollandais
3560070425143	EPICERIE	Pâtes alimentaires sèches Spécialités
3560070427673	EPICERIE	Confiserie et chocolats paques
3560070427857	EPICERIE	Confiserie et chocolats paques
3560070427888	EPICERIE	Confiserie et chocolats paques
3560070782758	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782758	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782758	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782758	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070782789	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070787074	PRODUITS FRAIS	Jambons cuits
3560070787074	PRODUITS FRAIS	Jambons cuits
3560070787074	PRODUITS FRAIS	Jambons cuits
3560070434657	LIQUIDES	Autres boissons non-gazeifiees Aux fruits
3560070435210	EPICERIE	Sauces chaudes à base de tomate et tomate frito
3560070435210	EPICERIE	Sauces chaudes à base de tomate et tomate frito
3560070436217	PRODUITS FRAIS	Riz et semoule
3560070437580	PRODUITS FRAIS	Raclette
3560070439171	EPICERIE	Conserves Artichauts
3560070440191	EPICERIE	Cafés solubles
3560070440375	EPICERIE	Conserves Asperges
3560070440405	EPICERIE	Conserves Poivrons
3560070443291	EPICERIE	Produits diététiques Galettes de riz
3560070444366	PRODUITS FRAIS	Légumes cuisines/ Purées / Gratins
3560070444373	PRODUITS FRAIS	Légumes verts surgelés
3560070444373	PRODUITS FRAIS	Légumes verts surgelés
3560070444373	PRODUITS FRAIS	Légumes verts surgelés
3560070799367	PRODUITS FRAIS	Fromage hollandais
3560070799367	PRODUITS FRAIS	Fromage hollandais
3560070446117	EPICERIE	Compotes gourdes
3560070446193	EPICERIE	Compotes gourdes
3560070446193	EPICERIE	Compotes gourdes
3560070446193	EPICERIE	Compotes gourdes
3560070446506	PRODUITS FRAIS	Volailles Découpes / Préparations
3560070448722	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070448753	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070448814	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070449514	EPICERIE	Barres céréalières
3560070449606	EPICERIE	Barres céréalières
3560070450732	EPICERIE	Conserves de Thon
3560070451685	PRODUITS FRAIS	Camemberts
3560070451685	PRODUITS FRAIS	Camemberts
3560070453337	LIQUIDES	Purs Jus de Fruits - Multifruits
3560070453337	LIQUIDES	Purs Jus de Fruits - Multifruits
3560070453337	LIQUIDES	Purs Jus de Fruits - Multifruits
3560070454778	PRODUITS FRAIS	Pates à tarte fraiches
3560070456987	PRODUITS FRAIS	Libre service - Poulets
3560070463800	PRODUITS FRAIS	Spec.sucree dont crepe gauffre
3560070466894	EPICERIE	Corn flakes
3560070467945	PRODUITS FRAIS	Pates à tarte fraiches
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070470501	PRODUITS FRAIS	Emmentals rapes
3560070472888	EPICERIE	Pates à tartiner chocolat
3560070472918	EPICERIE	Chocolat tablette - noirs
3560070472949	EPICERIE	Chocolat tablette - noirs
3560070472970	EPICERIE	,Chocolat tablette - amande,,noisette,,riz,
3560070474189	PRODUITS FRAIS	Pates natures
3560070476022	EPICERIE	Confiserie et chocolats noel
3560070476923	PFT	Autres Legumes a cuire
3560070477340	EPICERIE	Cafés en dosettes
3560070477371	EPICERIE	Cafés en dosettes
3560070478668	EPICERIE	Produits diététiques Autres sucrés
3560070478750	EPICERIE	,Cakes aux fruits,, fourres,
3560070478811	EPICERIE	,Cakes aux fruits,, fourres,
3560070479467	EPICERIE	Conserves de Tomates pelées
3560070479467	EPICERIE	Conserves de Tomates pelées
3560070479467	EPICERIE	Conserves de Tomates pelées
3560070484225	EPICERIE	Biscuits sucrés Au chocolat
3560070484225	EPICERIE	Biscuits sucrés Au chocolat
3560070484447	PRODUITS FRAIS	Autres legumes surgelés
3560070484447	PRODUITS FRAIS	Autres legumes surgelés
3560070484447	PRODUITS FRAIS	Autres legumes surgelés
3560070823246	LIQUIDES	Purs Jus de Fruits - Orange
3560070823246	LIQUIDES	Purs Jus de Fruits - Orange
3560070486243	EPICERIE	Cafés moulus
3560070486380	PRODUITS FRAIS	Charc.volaille et autre viande
3560070486687	PRODUITS FRAIS	Libre service - Poulets
3560070486687	PRODUITS FRAIS	Libre service - Poulets
3560070486717	PRODUITS FRAIS	Libre service - Poulets
3560070486717	PRODUITS FRAIS	Libre service - Poulets
3560070486748	PRODUITS FRAIS	Libre service - Poulets
3560070486748	PRODUITS FRAIS	Libre service - Poulets
3560070486779	PRODUITS FRAIS	Libre service - Poulets
3560070486779	PRODUITS FRAIS	Libre service - Poulets
3560070486861	PRODUITS FRAIS	Libre service - Poulets
3560070486861	PRODUITS FRAIS	Libre service - Poulets
3560070486892	PRODUITS FRAIS	Libre service - Poulets
3560070486892	PRODUITS FRAIS	Libre service - Poulets
3560070486984	PRODUITS FRAIS	Libre service - Autres volailles
3560070486984	PRODUITS FRAIS	Libre service - Autres volailles
3560070487011	PRODUITS FRAIS	Libre service - Autres volailles
3560070487011	PRODUITS FRAIS	Libre service - Autres volailles
3560070487042	PRODUITS FRAIS	Libre service - Autres volailles
3560070487042	PRODUITS FRAIS	Libre service - Autres volailles
3560070487073	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070487103	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070823895	EPICERIE	Miels
3560070823895	EPICERIE	Miels
3560070824151	PRODUITS FRAIS	Plats cuisinés surgelés - a base de volaile
3560070824151	PRODUITS FRAIS	Plats cuisinés surgelés - a base de volaile
3560070488483	LIQUIDES	Eaux plates Bouteille plastique
3560070488490	LIQUIDES	Eaux plates Bouteille plastique
3560070824434	PRODUITS FRAIS	Surimi surgelés
3560070824434	PRODUITS FRAIS	Surimi surgelés
3560070824823	LIQUIDES	Autres fruits gazéifiées
3560070824823	LIQUIDES	Autres fruits gazéifiées
3560070824830	LIQUIDES	Autres fruits gazéifiées
3560070492497	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070492497	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070824830	LIQUIDES	Autres fruits gazéifiées
3560070495948	PRODUITS FRAIS	Frites surgelées
3560070495948	PRODUITS FRAIS	Frites surgelées
3560070826216	PRODUITS FRAIS	Poissons surgelés nature tranche/morceau
3560070826216	PRODUITS FRAIS	Poissons surgelés nature tranche/morceau
3560070826216	PRODUITS FRAIS	Poissons surgelés nature tranche/morceau
3560070827893	EPICERIE	Vegetale
3560070827893	EPICERIE	Vegetale
3560070498796	EPICERIE	Pâtés
3560070499366	EPICERIE	,Coulis,, nappages,
3560070499748	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070499779	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070499809	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070829149	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070829149	PRODUITS FRAIS	,Crevettes,, gambas surgelés,
3560070829293	LIQUIDES	Purs Jus de Fruits - Autres
3560070503384	EPICERIE	Ketchup
3560070503735	PRODUITS FRAIS	Charc.volaille et autre viande
3560070503766	PRODUITS FRAIS	Charc.volaille et autre viande
3560070503797	PRODUITS FRAIS	Charc.volaille et autre viande
3560070503827	PRODUITS FRAIS	Charc.volaille et autre viande
3560070829293	LIQUIDES	Purs Jus de Fruits - Autres
3560070829309	LIQUIDES	Purs Jus de Fruits - Autres
3560070504732	EPICERIE	Confiserie de chocolat
3560070504732	EPICERIE	Confiserie de chocolat
3560070504794	EPICERIE	Confiserie de chocolat
3560070829309	LIQUIDES	Purs Jus de Fruits - Autres
3560070506408	PRODUITS FRAIS	Raclette
3560070510139	EPICERIE	,Gateaux roules,, fourres,
3560070511778	EPICERIE	Conserves Plats cuisines base de legumes
3560070513208	EPICERIE	Conserves Coeur de palmier
3560070513208	EPICERIE	Conserves Coeur de palmier
3560070513208	EPICERIE	Conserves Coeur de palmier
3560070830381	EPICERIE	Thés parfumés
3560070513567	PRODUITS FRAIS	Charc.volaille et autre viande
3560070513789	PRODUITS FRAIS	Panés
3560070513819	PRODUITS FRAIS	Panés
3560070513840	PRODUITS FRAIS	Panés
3560070830381	EPICERIE	Thés parfumés
3560070514724	PRODUITS FRAIS	Fromage italien
3560070515325	PRODUITS FRAIS	Traiteur sucré
3560070519309	EPICERIE	Autres céréales
3560070520381	EPICERIE	Autres céréales
3560070520411	EPICERIE	Sauces chaudes - pâtes - riz
3560070837052	EPICERIE	Riz parfumés (Basmati & Thaï)
3560070837052	EPICERIE	Riz parfumés (Basmati & Thaï)
3560070529636	PRODUITS FRAIS	Poissons surgelés nature tranche/morceau
3560070530090	PRODUITS FRAIS	Desserts - Mousses
3560070530595	PRODUITS FRAIS	Fromages frais - Féta
3560070531455	EPICERIE	Levures
3560070532308	EPICERIE	Caramels et spécialités
3560070837984	EPICERIE	Riz parfumés (Basmati & Thaï)
3560070837984	EPICERIE	Riz parfumés (Basmati & Thaï)
3560070838844	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070838844	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070838875	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070838875	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3560070537464	EPICERIE	Autres sauces chaudes
3560070538652	EPICERIE	Epices et herbes
3560070538805	EPICERIE	,Aides culinaires,, boillons solides et court bouillon,
3560070852086	EPICERIE	Thés parfumés
3560070541270	PRODUITS FRAIS	Dessert patissier
3560070541362	PRODUITS FRAIS	Crèmes dessert
3560070855926	PRODUITS FRAIS	Charc.volaille et autre viande
3560070855926	PRODUITS FRAIS	Charc.volaille et autre viande
3560070542642	PRODUITS FRAIS	Yaourts sante et biologique aux fruits
3560070543243	PRODUITS FRAIS	Volailles Découpes / Préparations
3560070548118	LIQUIDES	Sirops concentrés à base de fruits
3560070552498	PRODUITS FRAIS	Autres legumes surgelés
3560070552498	PRODUITS FRAIS	Autres legumes surgelés
3560070554300	PRODUITS FRAIS	Autres cremes
3560070554393	LIQUIDES	Boissons apéritives ss alcool
3560070884193	PRODUITS FRAIS	Légumes verts surgelés
3560070884193	PRODUITS FRAIS	Légumes verts surgelés
3560070558445	PRODUITS FRAIS	Poitrine de porc
3560070559879	PRODUITS FRAIS	Saumon fumés
3560070559879	PRODUITS FRAIS	Saumon fumés
3560070559879	PRODUITS FRAIS	Saumon fumés
3560070559879	PRODUITS FRAIS	Saumon fumés
3560070561216	PRODUITS FRAIS	Salades
3560070561216	PRODUITS FRAIS	Salades
3560070563746	PRODUITS FRAIS	Sandwichs
3560070563777	PRODUITS FRAIS	Sandwichs
3560070564019	PRODUITS FRAIS	Sandwichs
3560070565672	PRODUITS FRAIS	Sandwichs
3560070566235	PRODUITS FRAIS	Salades
3560070568802	PRODUITS FRAIS	Légumes verts surgelés
3560070568802	PRODUITS FRAIS	Légumes verts surgelés
3560070568833	PRODUITS FRAIS	Légumes verts surgelés
3560070568833	PRODUITS FRAIS	Légumes verts surgelés
3560070568833	PRODUITS FRAIS	Légumes verts surgelés
3560070568864	PRODUITS FRAIS	Autres legumes surgelés
3560070568864	PRODUITS FRAIS	Autres legumes surgelés
3560070892976	EPICERIE	Friandise chien
3560070892976	EPICERIE	Friandise chien
3560070569182	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070569212	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070569243	PRODUITS FRAIS	Libre service - Poulets
3560070569274	PRODUITS FRAIS	Libre service - Produits carnes prepares
3560070571222	PRODUITS FRAIS	Légumes cuisines/ Purées / Gratins
3560070571222	PRODUITS FRAIS	Légumes cuisines/ Purées / Gratins
3560070572304	EPICERIE	Conserves de Tomates pelées
3560070572304	EPICERIE	Conserves de Tomates pelées
3560070573073	EPICERIE	,Gateaux roules,, fourres,
3560070575459	LIQUIDES	Vins doux naturels
3560070907472	EPICERIE	Conserves de Haricots verts cueillis et rangés main
3560070907472	EPICERIE	Conserves de Haricots verts cueillis et rangés main
3560070580965	LIQUIDES	Autres cocktails
3560070581078	LIQUIDES	Bières Blondes
3560070582587	EPICERIE	Corn flakes
3560070582648	EPICERIE	Autres céréales
3560070586042	PRODUITS FRAIS	Laits longue conservation natu
3560070586073	PRODUITS FRAIS	Laits longue conservation natu
3560070586721	PFT	Crudite Composee
3560070588725	EPICERIE	Cafés en grains
3560070588923	PRODUITS FRAIS	Spec.sucree dont crepe gauffre
3560070925636	PRODUITS FRAIS	Libre service - Autres volailles
3560070925636	PRODUITS FRAIS	Libre service - Autres volailles
3560070928255	EPICERIE	Infusions classiques
3560070928255	EPICERIE	Infusions classiques
3560070928316	EPICERIE	Thés parfumés
3560070928316	EPICERIE	Thés parfumés
3560070592630	LIQUIDES	Autres boissons non-gazeifiees Aux fruits
3560070930036	PRODUITS FRAIS	Comte
3560070930036	PRODUITS FRAIS	Comte
3560070930036	PRODUITS FRAIS	Comte
3560070930128	PRODUITS FRAIS	Comte
3560070930128	PRODUITS FRAIS	Comte
3560070595587	EPICERIE	Desserts a preparer
3560070937868	PRODUITS FRAIS	Frites surgelées
3560070937868	PRODUITS FRAIS	Frites surgelées
3560070598717	PRODUITS FRAIS	Noix st jacques/petoncle/coquilles surgelés
3560070598717	PRODUITS FRAIS	Noix st jacques/petoncle/coquilles surgelés
3560070598717	PRODUITS FRAIS	Noix st jacques/petoncle/coquilles surgelés
3560070598717	PRODUITS FRAIS	Noix st jacques/petoncle/coquilles surgelés
3560070598717	PRODUITS FRAIS	Noix st jacques/petoncle/coquilles surgelés
3560070603077	EPICERIE	Conserves Asperges
3560070604340	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3560070605583	PRODUITS FRAIS	,Quiches,, tartes,, tourtes surgelées,
3560070605637	EPICERIE	Conserves  - Autres plats cuisines
3560070606856	PRODUITS FRAIS	Patisseries industrielles - gateaux a trancher
3560070606856	PRODUITS FRAIS	Patisseries industrielles - gateaux a trancher
3560070606900	PRODUITS FRAIS	Spec.sucree dont crepe gauffre
3560070955527	EPICERIE	Conserves de Thon
3560070955527	EPICERIE	Conserves de Thon
3560070614172	EPICERIE	Autres céréales
3560070616114	PRODUITS FRAIS	Frites surgelées
3560070616114	PRODUITS FRAIS	Frites surgelées
3560070962037	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070962037	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070962037	PRODUITS FRAIS	Panettone/brioche/prd tranche
3560070619580	PRODUITS FRAIS	Pains de mie élaboré
3560070636662	EPICERIE	Semoules de ble / Couscous
3560070649594	PRODUITS FRAIS	Libre service - Poulets
3560070649716	EPICERIE	,Gateaux roules,, fourres,
3560070669349	EPICERIE	Biscuits sucrés Secs
3560070669981	EPICERIE	Chocolat tablette - noirs
3560070670017	EPICERIE	Chocolat tablette - noirs
3560070670048	EPICERIE	Chocolat tablette - noirs
3560070674558	EPICERIE	Sauces chaudes - pâtes - riz
3560070679782	EPICERIE	Confiserie et chocolats paques
3560070681501	PRODUITS FRAIS	Libre service - Lapins
3560070682027	PRODUITS FRAIS	Bacs Crèmes Glacées
3560070684120	EPICERIE	Pommes de terre
3560070684120	EPICERIE	Pommes de terre
3560070685035	EPICERIE	Biscuits sucrés Au chocolat
3560070686148	PRODUITS FRAIS	Frites surgelées
3560071001520	EPICERIE	Sec chat
3560071001520	EPICERIE	Sec chat
3560071001537	EPICERIE	Sec chat
3560071001537	EPICERIE	Sec chat
3560071001544	EPICERIE	Sec chat
3560071001544	EPICERIE	Sec chat
3560071001551	EPICERIE	Sec chat
3560071001551	EPICERIE	Sec chat
3560071001575	EPICERIE	Sec chat
3560071001575	EPICERIE	Sec chat
3560071001582	EPICERIE	Sec chat
3560071001582	EPICERIE	Sec chat
3560071001599	EPICERIE	Sec chat
3560071001599	EPICERIE	Sec chat
3560070691005	EPICERIE	Carottes
3560071001605	EPICERIE	Sec chat
3560071001605	EPICERIE	Sec chat
3560071001612	EPICERIE	Sec chat
3560071001612	EPICERIE	Sec chat
3560071001636	EPICERIE	Sec chat
3560071001636	EPICERIE	Sec chat
3560071001643	EPICERIE	Sec chat
