Additive Class;INS number;Food Additive or Group
Humectant;339(i);Sodium dihydrogen phosphate
Humectant;350(i);Sodium hydrogen DL-malate
Humectant;325;Sodium lactate
Humectant;452(i);Sodium polyphosphate
Humectant;420(i);Sorbitol
Humectant;420(ii);Sorbitol syrup
Humectant;450(v);Tetrapotassium diphosphate
Humectant;450(iii);Tetrasodium diphosphate
Humectant;1518;Triacetin
Humectant;341(iii);Tricalcium phosphate
Humectant;340(iii);Tripotassium phosphate
Humectant;450(ii);Trisodium diphosphate
Humectant;339(iii);Trisodium phosphate
Humectant;967;Xylitol
Packaging gas;290;Carbon dioxide
Packaging gas;941;Nitrogen
Packaging gas;942;Nitrous oxide
Preservative;260;Acetic acid, glacial
Preservative;210;Benzoic acid
Preservative;928;Benzoyl peroxide
Preservative;263;Calcium acetate
Preservative;213;Calcium benzoate
Preservative;385;Calcium disodium ethylenediaminetetraacetate
Preservative;282;Calcium propionate
Preservative;203;Calcium sorbate
Preservative;290;Carbon dioxide
Preservative;242;Dimethyl dicarbonate
Preservative;230;Diphenyl
Preservative;386;Disodium ethylenediaminetetraacetate
Preservative;214;Ethyl para-hydroxybenzoate
Preservative;239;Hexamethylene tetramine
Preservative;384;Isopropyl citrates
Preservative;243;Lauric arginate ethyl ester
Preservative;1105;Lysozyme
Preservative;218;Methyl para-hydroxybenzoate
Preservative;235;Natamycin (Pimaricin)
Preservative;234;Nisin
Preservative;231;ortho-Phenylphenol
Preservative;261(i);Potassium acetate
Preservative;212;Potassium benzoate
Preservative;224;Potassium metabisulfite
Preservative;252;Potassium nitrate
Preservative;249;Potassium nitrite
Preservative;283;Potassium propionate
Preservative;202;Potassium sorbate
Preservative;225;Potassium sulfite
Preservative;280;Propionic acid
Preservative;262(i);Sodium acetate
Preservative;211;Sodium benzoate
Preservative;262(ii);Sodium diacetate
Preservative;222;Sodium hydrogen sulfite
Preservative;223;Sodium metabisulfite
Preservative;251;Sodium nitrate
Preservative;250;Sodium nitrite
Preservative;232;Sodium ortho-phenylphenol
Preservative;281;Sodium propionate
Preservative;201;Sodium sorbate
Preservative;221;Sodium sulfite
Preservative;200;Sorbic acid
Preservative;220;Sulfur dioxide
Preservative;339(iii);Trisodium phosphate
Propellant;290;Carbon dioxide
Propellant;941;Nitrogen
Propellant;942;Nitrous oxide
Raising agent;523;Aluminium ammonium sulfate
Raising agent;503(i);Ammonium carbonate
Raising agent;342(i);Ammonium dihydrogen phosphate
Raising agent;503(ii);Ammonium hydrogen carbonate
Raising agent;450(vii);Calcium dihydrogen diphosphate
Raising agent;341(i);Calcium dihydrogen phosphate
Raising agent;341(ii);Calcium hydrogen phosphate
Raising agent;452(iv);Calcium polyphosphate
Raising agent;342(ii);Diammonium hydrogen phosphate
Raising agent;450(vi);Dicalcium diphosphate
Raising agent;450(i);Disodium diphosphate
Raising agent;575;Glucono delta-lactone
Raising agent;450(ix);Magnesium dihydrogen diphosphate
Raising agent;343(ii);Magnesium hydrogen phosphate
Raising agent;501(ii);Potassium hydrogen carbonate
Raising agent;452(ii);Potassium polyphosphate
Raising agent;541(i);Sodium aluminium phosphate, acidic
Raising agent;452(iii);Sodium calcium polyphosphate
Raising agent;500(i);Sodium carbonate
Raising agent;339(i);Sodium dihydrogen phosphate
Raising agent;500(ii);Sodium hydrogen carbonate
Raising agent;452(i);Sodium polyphosphate
Raising agent;500(iii);Sodium sesquicarbonate
Raising agent;450(v);Tetrapotassium diphosphate
Raising agent;450(iii);Tetrasodium diphosphate
Raising agent;341(iii);Tricalcium phosphate
Raising agent;450(ii);Trisodium diphosphate
Sequestrant;472a;Acetic and fatty acid esters of glycerol
Sequestrant;400;Alginic acid
Sequestrant;403;Ammonium alginate
Sequestrant;452(v);Ammonium polyphosphate
Sequestrant;300;Ascorbic acid, L-
Sequestrant;404;Calcium alginate
Sequestrant;450(vii);Calcium dihydrogen diphosphate
Sequestrant;341(i);Calcium dihydrogen phosphate
Sequestrant;385;Calcium disodium ethylenediaminetetraacetate
Sequestrant;578;Calcium gluconate
Sequestrant;452(iv);Calcium polyphosphate
Sequestrant;516;Calcium sulfate
Sequestrant;330;Citric acid
Sequestrant;472c;Citric and fatty acid esters of glycerol
Sequestrant;472e;Diacetyltartaric and fatty acid esters of glycerol
Sequestrant;450(vi);Dicalcium diphosphate
Sequestrant;340(ii);Dipotassium hydrogen phosphate
Sequestrant;450(i);Disodium diphosphate
Sequestrant;386;Disodium ethylenediaminetetraacetate
Sequestrant;339(ii);Disodium hydrogen phosphate
Sequestrant;575;Glucono delta-lactone
Sequestrant;384;Isopropyl citrates
Sequestrant;472b;Lactic and fatty acid esters of glycerol
Sequestrant;451(ii);Pentapotassium triphosphate
Sequestrant;451(i);Pentasodium triphosphate
Sequestrant;338;Phosphoric acid
Sequestrant;402;Potassium alginate
Sequestrant;332(i);Potassium dihydrogen citrate
Sequestrant;340(i);Potassium dihydrogen phosphate
Sequestrant;577;Potassium gluconate
Sequestrant;452(ii);Potassium polyphosphate
Sequestrant;337;Potassium sodium L(+)-tartrate
Sequestrant;335(ii);Sodium L(+)-tartrate
Sequestrant;262(i);Sodium acetate
Sequestrant;401;Sodium alginate
Sequestrant;452(iii);Sodium calcium polyphosphate
Sequestrant;262(ii);Sodium diacetate
Sequestrant;331(i);Sodium dihydrogen citrate
Sequestrant;339(i);Sodium dihydrogen phosphate
Sequestrant;576;Sodium gluconate
Sequestrant;452(i);Sodium polyphosphate
Sequestrant;539;Sodium thiosulfate
Sequestrant;420(i);Sorbitol
Sequestrant;420(ii);Sorbitol syrup
Sequestrant;484;Stearyl citrate
Sequestrant;334;L(+)-Tartaric acid
Sequestrant;450(v);Tetrapotassium diphosphate
Sequestrant;450(iii);Tetrasodium diphosphate
Sequestrant;333(iii);Tricalcium citrate
Sequestrant;1505;Triethyl citrate
Sequestrant;332(ii);Tripotassium citrate
Sequestrant;340(iii);Tripotassium phosphate
Sequestrant;331(iii);Trisodium citrate
Sequestrant;450(ii);Trisodium diphosphate
Sequestrant;339(iii);Trisodium phosphate
Stabilizer;472a;Acetic and fatty acid esters of glycerol
Stabilizer;1422;Acetylated distarch adipate
Stabilizer;1414;Acetylated distarch phosphate
Stabilizer;1451;Acetylated oxidized starch
Stabilizer;1401;Acid-treated starch
Stabilizer;406;Agar
Stabilizer;400;Alginic acid
Stabilizer;1402;Alkaline treated starch
Stabilizer;523;Aluminium ammonium sulfate
Stabilizer;403;Ammonium alginate
Stabilizer;342(i);Ammonium dihydrogen phosphate
Stabilizer;452(v);Ammonium polyphosphate
Stabilizer;901;Beeswax
Stabilizer;1403;Bleached starch
Stabilizer;1101(iii);Bromelain
Stabilizer;263;Calcium acetate
Stabilizer;404;Calcium alginate
Stabilizer;170(i);Calcium carbonate
Stabilizer;509;Calcium chloride
Stabilizer;450(vii);Calcium dihydrogen diphosphate
Stabilizer;341(i);Calcium dihydrogen phosphate
Stabilizer;341(ii);Calcium hydrogen phosphate
Stabilizer;452(iv);Calcium polyphosphate
Stabilizer;482(i);Calcium stearoyl lactylate
Stabilizer;516;Calcium sulfate
Stabilizer;410;Carob bean gum
Stabilizer;407;Carrageenan
Stabilizer;427;Cassia gum
Stabilizer;472c;Citric and fatty acid esters of glycerol
Stabilizer;468;Cross-linked sodium carboxymethyl cellulose (Cross-linked-cellulose gum)
Stabilizer;424;Curdlan
Stabilizer;457;Cyclodextrin, alpha-
Stabilizer;459;Cyclodextrin, beta-
Stabilizer;458;Cyclodextrin, gamma-
Stabilizer;1400;Dextrins, roasted starch
Stabilizer;472e;Diacetyltartaric and fatty acid esters of glycerol
Stabilizer;342(ii);Diammonium hydrogen phosphate
Stabilizer;450(vi);Dicalcium diphosphate
Stabilizer;340(ii);Dipotassium hydrogen phosphate
Stabilizer;450(i);Disodium diphosphate
Stabilizer;386;Disodium ethylenediaminetetraacetate
Stabilizer;339(ii);Disodium hydrogen phosphate
Stabilizer;1412;Distarch phosphate
Stabilizer;467;Ethyl hydroxyethyl cellulose
Stabilizer;418;Gellan gum
Stabilizer;445(iii);Glycerol ester of wood rosin
Stabilizer;412;Guar gum
Stabilizer;414;Gum arabic (Acacia gum)
Stabilizer;463;Hydroxypropyl cellulose
Stabilizer;1442;Hydroxypropyl distarch phosphate
Stabilizer;464;Hydroxypropyl methyl cellulose
Stabilizer;1440;Hydroxypropyl starch
Stabilizer;1103;Invertases
Stabilizer;953;Isomalt (Hydrogenated isomaltulose)
Stabilizer;416;Karaya gum
Stabilizer;425;Konjac flour
Stabilizer;472b;Lactic and fatty acid esters of glycerol
Stabilizer;511;Magnesium chloride
Stabilizer;450(ix);Magnesium dihydrogen diphosphate
Stabilizer;343(i);Magnesium dihydrogen phosphate
Stabilizer;343(ii);Magnesium hydrogen phosphate
Stabilizer;965(i);Maltitol
Stabilizer;965(ii);Maltitol syrup
Stabilizer;421;Mannitol
Stabilizer;461;Methyl cellulose
Stabilizer;465;Methyl ethyl cellulose
Stabilizer;460(i);Microcrystalline cellulose (Cellulose gel)
Stabilizer;471;Mono- and di-glycerides of fatty acids
Stabilizer;1410;Monostarch phosphate
Stabilizer;1404;Oxidized starch
Stabilizer;440;Pectins
Stabilizer;451(ii);Pentapotassium triphosphate
Stabilizer;451(i);Pentasodium triphosphate
Stabilizer;1413;Phosphated distarch phosphate
Stabilizer;1200;Polydextroses
Stabilizer;475;Polyglycerol esters of fatty acids
Stabilizer;432;Polyoxyethylene (20) sorbitan monolaurate
Stabilizer;433;Polyoxyethylene (20) sorbitan monooleate
Stabilizer;435;Polyoxyethylene (20) sorbitan monostearate
Stabilizer;436;Polyoxyethylene (20) sorbitan tristearate
Stabilizer;1209;Polyvinyl alcohol (PVA) –Polyethylene glycol (PEG) graft copolymer
Stabilizer;1201;Polyvinylpyrrolidone
Stabilizer;1202;Polyvinylpyrrolidone, insoluble
Stabilizer;402;Potassium alginate
Stabilizer;501(i);Potassium carbonate
Stabilizer;508;Potassium chloride
Stabilizer;332(i);Potassium dihydrogen citrate
Stabilizer;340(i);Potassium dihydrogen phosphate
Stabilizer;501(ii);Potassium hydrogen carbonate
Stabilizer;452(ii);Potassium polyphosphate
Stabilizer;337;Potassium sodium L(+)-tartrate
Stabilizer;460(ii);Powdered cellulose
Stabilizer;407a;Processed eucheuma seaweed (PES)
Stabilizer;405;Propylene glycol alginate
Stabilizer;1101(i);Protease from Aspergillus orizae var.
Stabilizer;470(i);Salts of myristic, palmitic and stearic acids with ammonia, calcium, potassium and sodium
Stabilizer;470(ii);Salts of oleic acid with calcium, potassium and sodium
Stabilizer;335(ii);Sodium L(+)-tartrate
Stabilizer;401;Sodium alginate
Stabilizer;541(i);Sodium aluminium phosphate, acidic
Stabilizer;541(ii);Sodium aluminium phosphate, basic
Stabilizer;452(iii);Sodium calcium polyphosphate
Stabilizer;500(i);Sodium carbonate
Stabilizer;466;Sodium carboxymethyl cellulose (Cellulose gum)
Stabilizer;469;Sodium carboxymethyl cellulose, enzymatically hydrolysed (Cellulose gum, enzymatically hydrolyzed)
Stabilizer;331(i);Sodium dihydrogen citrate
Stabilizer;339(i);Sodium dihydrogen phosphate
Stabilizer;576;Sodium gluconate
Stabilizer;500(ii);Sodium hydrogen carbonate
Stabilizer;452(i);Sodium polyphosphate
Stabilizer;481(i);Sodium stearoyl lactylate
Stabilizer;493;Sorbitan monolaurate
Stabilizer;494;Sorbitan monooleate
Stabilizer;492;Sorbitan tristearate
Stabilizer;420(i);Sorbitol
Stabilizer;420(ii);Sorbitol syrup
Stabilizer;1420;Starch acetate
Stabilizer;1450;Starch sodium octenyl succinate
Stabilizer;1405;Starches, enzyme treated
Stabilizer;473a;Sucrose Oligoesters, Type I and Type II
Stabilizer;444;Sucrose acetate isobutyrate
Stabilizer;473;Sucrose esters of fatty acids
Stabilizer;181;Tannic acid (Tannins)
Stabilizer;417;Tara gum
Stabilizer;450(v);Tetrapotassium diphosphate
Stabilizer;450(iii);Tetrasodium diphosphate
Stabilizer;413;Tragacanth gum
Stabilizer;333(iii);Tricalcium citrate
Stabilizer;341(iii);Tricalcium phosphate
Stabilizer;1505;Triethyl citrate
Stabilizer;343(iii);Trimagnesium phosphate
Stabilizer;332(ii);Tripotassium citrate
Stabilizer;340(iii);Tripotassium phosphate
Stabilizer;331(iii);Trisodium citrate
Stabilizer;450(ii);Trisodium diphosphate
Stabilizer;339(iii);Trisodium phosphate
Stabilizer;415;Xanthan gum
Stabilizer;967;Xylitol
Sweetener;950;Acesulfame potassium
Sweetener;969;Advantame
Sweetener;956;Alitame
Sweetener;951;Aspartame
Sweetener;962;Aspartame-acesulfame salt
Sweetener;952(ii);Calcium cyclamate
Sweetener;954(ii);Calcium saccharin
Sweetener;952(i);Cyclamic acid
Sweetener;968;Erythritol
Sweetener;953;Isomalt (Hydrogenated isomaltulose)
Sweetener;966;Lactitol
Sweetener;965(i);Maltitol
Sweetener;965(ii);Maltitol syrup
Sweetener;421;Mannitol
Sweetener;961;Neotame
Sweetener;964;Polyglycitol syrup
Sweetener;954(iii);Potassium saccharin
Sweetener;954(i);Saccharin
Sweetener;952(iv);Sodium cyclamate
Sweetener;954(iv);Sodium saccharin
Sweetener;420(i);Sorbitol
Sweetener;420(ii);Sorbitol syrup
Sweetener;960;Steviol glycosides
Sweetener;955;Sucralose (Trichlorogalactosucrose)
Sweetener;957;Thaumatin
Sweetener;967;Xylitol
Thickener;1422;Acetylated distarch adipate
Thickener;1414;Acetylated distarch phosphate
Thickener;1451;Acetylated oxidized starch
Thickener;1401;Acid-treated starch
Thickener;406;Agar
Thickener;400;Alginic acid
Thickener;1402;Alkaline treated starch
Thickener;403;Ammonium alginate
Thickener;342(i);Ammonium dihydrogen phosphate
Thickener;452(v);Ammonium polyphosphate
Thickener;901;Beeswax
Thickener;1403;Bleached starch
Thickener;404;Calcium alginate
Thickener;509;Calcium chloride
Thickener;341(i);Calcium dihydrogen phosphate
Thickener;341(ii);Calcium hydrogen phosphate
Thickener;327;Calcium lactate
Thickener;452(iv);Calcium polyphosphate
Thickener;902;Candelilla wax
Thickener;410;Carob bean gum
Thickener;407;Carrageenan
Thickener;427;Cassia gum
Thickener;468;Cross-linked sodium carboxymethyl cellulose (Cross-linked-cellulose gum)
Thickener;424;Curdlan
Thickener;457;Cyclodextrin, alpha-
Thickener;459;Cyclodextrin, beta-
Thickener;458;Cyclodextrin, gamma-
Thickener;1400;Dextrins, roasted starch
Thickener;342(ii);Diammonium hydrogen phosphate
Thickener;450(vi);Dicalcium diphosphate
Thickener;340(ii);Dipotassium hydrogen phosphate
Thickener;450(i);Disodium diphosphate
Thickener;339(ii);Disodium hydrogen phosphate
Thickener;1412;Distarch phosphate
Thickener;462;Ethyl cellulose
Thickener;467;Ethyl hydroxyethyl cellulose
Thickener;418;Gellan gum
Thickener;422;Glycerol
Thickener;412;Guar gum
Thickener;414;Gum arabic (Acacia gum)
Thickener;463;Hydroxypropyl cellulose
Thickener;1442;Hydroxypropyl distarch phosphate
Thickener;464;Hydroxypropyl methyl cellulose
Thickener;1440;Hydroxypropyl starch
Thickener;953;Isomalt (Hydrogenated isomaltulose)
Thickener;416;Karaya gum
Thickener;425;Konjac flour
Thickener;966;Lactitol
Thickener;343(i);Magnesium dihydrogen phosphate
Thickener;343(ii);Magnesium hydrogen phosphate
Thickener;470(iii);Magnesium stearate
Thickener;965(i);Maltitol
Thickener;965(ii);Maltitol syrup
Thickener;421;Mannitol
Thickener;461;Methyl cellulose
Thickener;465;Methyl ethyl cellulose
Thickener;460(i);Microcrystalline cellulose (Cellulose gel)
Thickener;1410;Monostarch phosphate
Thickener;1404;Oxidized starch
Thickener;440;Pectins
Thickener;451(ii);Pentapotassium triphosphate
Thickener;451(i);Pentasodium triphosphate
Thickener;1413;Phosphated distarch phosphate
Thickener;1200;Polydextroses
Thickener;1521;Polyethylene glycol
Thickener;1203;Polyvinyl alcohol
Thickener;1201;Polyvinylpyrrolidone
Thickener;402;Potassium alginate
Thickener;508;Potassium chloride
Thickener;340(i);Potassium dihydrogen phosphate
Thickener;452(ii);Potassium polyphosphate
Thickener;460(ii);Powdered cellulose
Thickener;407a;Processed eucheuma seaweed (PES)
Thickener;405;Propylene glycol alginate
Thickener;1204;Pullulan
Thickener;401;Sodium alginate
Thickener;541(i);Sodium aluminium phosphate, acidic
Thickener;541(ii);Sodium aluminium phosphate, basic
Thickener;500(i);Sodium carbonate
Thickener;466;Sodium carboxymethyl cellulose (Cellulose gum)
Thickener;469;Sodium carboxymethyl cellulose, enzymatically hydrolysed (Cellulose gum, enzymatically hydrolyzed)
Thickener;339(i);Sodium dihydrogen phosphate
Thickener;576;Sodium gluconate
Thickener;500(ii);Sodium hydrogen carbonate
Thickener;325;Sodium lactate
Thickener;452(i);Sodium polyphosphate
Thickener;420(i);Sorbitol
Thickener;420(ii);Sorbitol syrup
Thickener;1420;Starch acetate
Thickener;1450;Starch sodium octenyl succinate
Thickener;1405;Starches, enzyme treated
Thickener;553(iii);Talc
Thickener;181;Tannic acid (Tannins)
Thickener;417;Tara gum
Thickener;450(v);Tetrapotassium diphosphate
Thickener;450(iii);Tetrasodium diphosphate
Thickener;413;Tragacanth gum
Thickener;341(iii);Tricalcium phosphate
Thickener;343(iii);Trimagnesium phosphate
Thickener;340(iii);Tripotassium phosphate
Thickener;450(ii);Trisodium diphosphate
Thickener;339(iii);Trisodium phosphate
Thickener;415;Xanthan gum
Thickener;967;Xylitol
