code;name;address
CY P 235 EK;"PTINOSFAGIO ""O PETINOS"" LTD";Koritsas 13, 7102 Aradippou, Larnaca
CY P 237 EK;K&P FLOUROS CHICKEN FARM LTD;Demokratias 2, 2616 Kalo Chorio Klirou, Lefkosia
CY P 238 EK;N.C. FARM (KOUTRAFAS) LTD;2070 Kato Koutrafas, Nicosia
CY P 239 EK;NELI EMPORIO KREATON LTD;2674 Gerolakos - Lefkosia
CY P 240 EK;ACME GS TRADING LTD;Leoforos Makariou 33A, 2671 Ayioi Trimithias, Lefkosia
CY P 241 EK;DDP AGROFARM TRADING LTD;Psichari 100, 5291 Paralimni, Ammochostos
CY P 242 EK;D.P.S. FARM LIMITED;Glikanissenas 24, 4153 Kato Polemidia, Lemesos
CY P 243 EK;"PTINOSFAGEIO ""MARCOS""";Ktinotrofiki Periochi Aradippipou - Larnaca
CY P 31 EK;MINTIKKIS FARM LTD;P.O.Box 23881, 1687 Nicosia
CY R 02 EK;A. & A. SFAGIA LTD;Agios Ioannis Malountas, 2720 Lefkosia
CY R 03 EK;"""ZO"" EMPORIUM CO LTD";9 Spyrou Lambrou - 1082 Lefkosia
CY R 04 EK;ARLYCO LTD;Aradippou Industrial Area B, 7100 Aradippou, Larnaca
CY R 07 EK;IPH IACOVOS PHOTIADES FOODSTUFF SUPPLIERS LTD;Yiannou Kranidioti 166, 2231 Latsia, Lefkosia
CY R 08 EK;PANGIPRIOS ORGANISMOS AGELADOTROFON (POA) DIMOSIA LTD;Athienou Industrial Area - Larnaca
CY R 09 EK;MELIS & SONS (MEAT MARKET) LTD;Agiou Athanasiou & Y.Ritsou Avenue No. 2 - 4107 Lemesos
CY R 100 EK;EUROFREIGHT LOGISTICS LIMITED;P.O.Box 42733, 6502 Larnaca
CY R 101 EK;REPENDO HOLDINGS LTD;85 Lymbia Avenue, Alambra Industrial Area, 2563 Alambra, Lefkosia
CY R 102 EK;ROLOGIS LIMITED;Propileon 52, Strovolos Industrial Area, 2033 Strovolos, Lefkosia
CY R 104 EK;QUALIFOOD TRADING LTD;Andrea Zakou 12, 2660 Kokkinotrimithia Industrial Area, Lefkosia
CY R 105 EK;DIKTIO DIANOMIS F. THEOKLI & YIOI LIMITED;Viotechniki Dromolaxias, Larnaca
CY R 106 EK;IFANTIS (CYPRUS) FOOD LIMITED;Kilkis 33, 2234 Latsia,Nicosia
CY R 109 EK;A.X. MEGALI EMPORIKI LIMITED;Titanon 3a, 1041 Pallouriotissa, Lefkosia
CY R 110 EK;SUREFOOD LIMITED;Trimithiou 2, 2540 Latsia, Lefkosia
CY R 111 EK;CHRIS JOANNOU PUBLIC LIMITED;Paramitha Industrial Area, Limassol (51 Stigos str., 3117 Lemesos
CY R 112 EK;MITSIOS TRADING LIMITED;Τefkrou Αnthia 70, 2540 Dhali, Lefkosia
CY R 113 EK;NELI EMPORIO KREATON LIMITED;Evagora Pallikarides 15, Geroskipou, 8200 Paphos
CY R 115 EK;R.M. KYRIAKIDES TRADING LTD;3η Viotechniki Kyperountas, 4876 Kyperounta, Lemesos
CY R 117 EK;DIAPO LTD;Georgiou Karaiskaki 43, 4193 Lemesos
CY R 118 EK;S.AV.E. FOOD LTD;Larissis 43, 6040 Larnaca
CY R 119 EK;N. & TH. NICOLAOU FROZEN FOODS LIMITED;Griva Digeni 80, 5281 Paralimni, Ammochostos
CY R 12 EK;ARAMEAT LTD;P.O.Box 45088, 7110 Aradippou - Larnaca
CY R 121 EK;THEO FOOD STUFFS TRADING LTD;Thoukididou 20, 3060 Paramitha, Lemesos
CY R 122 EK;P.N.S. FOOD SUPPLIES LIMITED;Odessos 4-5-6, Polemidia Industrial Area - 4150 Lemesos
CY R 123 EK;PANFOOD TRADING CO LTD;Agiou Ilarionos 156, 1028 Kaimakli, Lefkosia
CY R 126 EK;EMPORIA KREATON PAMPOS CHARALAMBOUS;Ag. Ilarionos 44, 1026 kaimakli, Lefkosia
CY R 128 EK;KERAMOR LTD;Elia Kannaourou 110, 4186 Ypsonas, Lemesos
CY R 129 EK;PARTY ICE & PARTY TIME ICE LTD;Lefkosias 3, 2571 Viomichaniki Periochi Nisou, Lefkosia,
CY R 13 EK;KREATAGORA CHRISTOS A. KASAPIS & SON LTD;Spyrou Kyprianou 52, Ergates Industrial Area, 2643 Ergates, Lefkosia
CY R 130 EK;ALLANTICA CHARTOPAK LTD;Theokritou 9, 1060 Lefkosia
CY R 131 EK;A/FOI KOUNTOUROU LTD;Athinon 1, 2643 Viomichaniki Periochi Ergaton - Lefkosia
CY R 132 EK;"KREATAGORA ""TO AGRINO"" LTD";Zapichas 11, 4524 Monagroulli, Lemesos
CY R 133 EK;KREATAGORA A/FOI YIASOUMI LTD;6 Archiepiskopou Makariou III, 7571 Agglisides, Larnaca
CY R 135 EK;MEAT & MORE SELECT LTD;7571 Αγγλισίδες, Larnaca
CY R 136 EK;YIALTA FOODSTORES (HADJICTORIS) LTD;Yialtas 16, 3100 Lemesos
CY R 137 EK;ANTONAKIS I. KATSIKIDES & SONS LTD;Agias Phylaxeos 253, 3116 Agia Phyla - Lemesos
CY R 138 EK;GEORGIOS & PETYA IMPORT - EXPORT LTD;Thoma Edisson 13, Tem. 4, 5380 Dherynia, Ammochostos
CY R 139 EK;ELEFTHERIOS G. ELEFTHERIOU ACHNAGAL LTD;Agiou Antoniou 9, 4186 Ypsonas, Lemesos
CY R 140 EK;CHARALAMBIDES - CHRISTIS LTD;Ag. Charalambous 8, 8507 Timi, Paphos
CY R 141 EK;A.S. GOURMET WHOLESALE LIMITED;Psiloriti 8, 7104 Aradippou, Larnaca
CY R 142 EK;GABRIEL ST. PROTOPAPAS FOOD SUPPLIERS (FAMAGUSTA) LIMITED;Kavallou 7, Frenaros Industrial Area, 5350 Frenaros - Ammochostos
CY R 143 EK;GIORGOS & ANDREAS GEORGIOU KOTOPOULA LIMITED;Agias Paraskevis 19, Trachoni 4651, Lemesos
CY R 144 EK;EUROFREIGHT LOGISTICS LIMITED;Aradippou Industrial Zone, 7100 Aradippou, Larnaca
CY R 145 EK;FLEXACO SOLUTIONS LTD;21 Spyrou Kyprianou, III Ypsonas Industrial Zone, 4193 Ypsonas, Limassol
CY R 146 EK;INS BEST WORLD FOODS LTD;Pereos 6, 7101 Aradippou Industrial Area, Larnaca
CY R 147 EK;A. VASILΙOU FROZEN FOODS;Arch. Kyprianou 47, 7020 Dromolaxia, Larnaca
CY R 148 EK;MCC BEST VALUE LTD;Misiaouli & Kavazoglou 89, 3016 Lemesos
CY R 149 EK;BIRCH ENTERPRISES LTD;Aretis 1, 2571 Nisou, Lefkosia
CY R 150 EK;ELEFTHERIOS G. ELEFTHERIOU ACHNAGAL LTD;Industrial Zone, 8501 Agia Varvara, Paphos
CY R 151 EK;IAKOVOS PHOTIADES FOODSTUFF SUPPLIERS LIMITED;Tefkrou Anthia 73, Dhali Industrial Area, 2540 Dhali, Lefkosia
CY R 152 EK;C.A.C.PAPANTONIOU TRADING LTD;Viomichaniki Periochi, 8503 Αchelia - Paphos
CY R 153 EK;HARTZIOTIS TRADING COMPANY LIMITED;8 Alykou Potamou,Nisou Industrial Area, 2540 Dhali, Lefkosia
CY R 154 EK;DELICACY FOOD LTD;Graham Bell 18, 5380 Dherynia, Ammochostos
CY R 155 EK;FOOD MENTORS TRADING LTD;Tsiflikoudion 23, 3010 Lemesos
CY R 156 EK;DIAPO LIMITED;Pigasou 17, Enoria Brachos, Aradippou Industrial Area, 7100 Aradippou, Larnaca
CY R 157 EK;ANDREAS SOPHOCLEOUS & SONS LTD;Dromos Acrotiriou - Kolossiou, Lemesos
CY R 158 EK;ADT ISLE OF CYPRUS - OLIVE OIL LTD;Phalea 14, B' Viomichaniki Periochi Agiou Athanasiou, 4101 Lemesos
CY R 159 EK;COLUMBIA RESTAURANTS COMPANY LTD;Andrea Karyolou 40, 4102 Lemesos
CY R 160 EK;PARTY ICE & PARTY TIME ICE LTD;Everest 37, B' Viomichaniki Periochi Aradippou, 7100 Aradippou, Larnaca
CY R 161 EK;CLAPPAS TRADING HOUSE LIMITED;Tefkrou Anthia 21, Viomichaniki periochi Daliou, 2540 Dali, Lefkosia
CY R 162 EK;L.S. DELIFOODS LIMITED;304 Protaras - Kavo Greko, 5296 Paralimni, Ammochostos
CY R 163 EK;ELYMIS LTD;8502 Anarita, Paphos
CY R 164 EK;ANDREAS A. ZACHARIOU LIMITED;Pindarou 10, Viomichaniki Zoni Aradippou, 7105 Aradippou, Larnaca
CY R 165 EK;KREATAGORA TAKIS PITTAS LTD;Leoforos Aglantzias 21B, 2108 Aglantzia, Lefkosia
CY R 18 EK;P.& CHR. SEAFOOD;Souedias 15 - 19, 3047 Zakaki Limassol
CY R 19 EK;CHIONISTRA LTD;P.O.Box 56109, 3304 Lemesos
CY R 20 EK;GDL TRADING LTD;P.O.Box 51175, 3595 Lemesos
CY R 21 EK;GDL TRADING FAMAGUSTA LTD;P.O.Box 33518, 5315 Paralimni - Ammochostos
CY R 22 EK;GDL TRADING PAPHOS LTD;Michalaki Savvides 35, Messogi Industrial Area - 8280 Paphos
CY R 23 EK;M.G.T. FROZOGOODS TRADING LTD;Dherynia Ind.Area -P.O.Box 36020, 5385 Dherynia, Ammochostos
CY R 24 EK;GABRIEL ST. PROTOPAPAS FOOD SUPPLIERS (FAMAGUSTA) LTD;34, Xylophagou Avenue, Ammochostos
CY R 25 EK;D&A CHARALAMBOUS FOODSTUFF SUPPLIERS LTD;Leoforos Viotechnikis Konion No. 40, 8300 Paphos
CY R 26 EK;POLIS CHRYSOCHOUS SLAUGHTERHOUSE;8820 Polis Chysochous, Paphos
CY R 27 EK;D.DIMITRIOU & SONS LTD;137 Road - No. 50, 4131 Pano Polemidia - Lemesos
CY R 29 EK;P & D ALPHAMEAT LTD;Ag. Sylas Industrial Area , Phase III, No. 26 - 4193 Lemesos
CY R 30 EK;PANTELIS SOTERIOU FOOD SUPPLIERS LIMITED;Synergatismou 15, 3010 Lemesos
CY R 31 EK;A. MINTIKKIS FARM LTD;Marki / Kotsiátis - Lefkosia
CY R 34 EK;"KTINOTROPHIKES EPICHIRISIS ""TO GIORKOUDI LTD""";Ag. Georgiou 14, 2231 Latsia, - Lefkosia
CY R 35 EK;YIALLOUROU EUROFOODS LTD;Aradippou Industrial Area, Larnaca
CY R 36 EK;GDL TRADING LTD (ARADIPPOU);Aradipou Industrial Area,  P.O.Box 40020 - 6300 Larnaca
CY R 37 EK;S & S ICEFRESH LTD;Pevkou 61, 2311 Lakatamia, Lefkosia
CY R 39 EK;G. & A. MARATHOVOUNIOTIS EMPOROI KREATON LTD;Ippokratous 2, 2325 Lakatamia - Lefkosia
CY R 42 EK;ZE.DE.PA FARM LTD;John Kennedy 3, Frenaros Industrial Area, 5350 Frenaros, Ammochostos
CY R 43 EK;P.M. MARCOU MEAT PRODUCTS LTD;Odisseos 160, 2550 Elioupolis, Dhali, Lefkosia
CY R 47 EK;BELLFOODS LTD;P.O.Box 27657, Yerolakkos, 2432 Lefkosia
CY R 48 EK;MACTHEO BROS TRADING LTD;Xylotymbou Industrial Area, 148 Makariou III, 7510 Xylotymbou, Larnaca
CY R 49 EK;TASOS DEMETRIOU EMPOROI KREATON LTD;Kantaras 156, 2051 Strovolos - Lefkosia
CY R 50 EK;CHEESELINE LTD;P.O.Box 17017, 2260 Lefkosia
CY R 53 EK;CHRYSODALIA LTD;Gregori Afxentiou 26, 2540 Dhali, Lefkosia
CY R 54 EK;A.L.HADJIANTONIS G.E. LTD;Agías Sophias 28, 7104 Aradippou - Larnaca
CY R 55 EK;CYPRA LTD;Agíoi Eliophotoi ,Lefkosia
CY R 57 EK;PARTY ICE & PARTY TIME ICE LTD;Solonos Michaelides 7, Ypsonas Industrial Area, Phase III, 4193 Ypsonas, Lemesos
CY R 58 EK;K. & L. SNACK FOOD;Pagratiou 3, Strovolos Industrial Area - Lefkosia
CY R 60 EK;LAIKO COSMOS TRADING LTD;Aiolou 8, 2540 Dhali Industrial Area, Lefkosia
CY R 61 EK;KREATAGORA PAVLOS AVRAAMIDES LTD;Agias Paraskevis 25, 2643 Ergates, Lefkosia
CY R 62 EK;D.P.D TRADING LTD;Pentagias 31, Dhali Industrial Area, 2540 Lefkosia
CY R 63 EK;VASOS ELIADES LTD;Acropoleos 21, 7100 Aradíppou Larnaca
CY R 64 EK;VOICΙ LA MODE LTD;Zenonos 11, (Industrial Zone) 2540 Dhali, Lefkosia
CY R 65 EK;ARGOSY TRADING COMPANY LTD;Industrial Area Pera Chorio Nisou, Lefkosia
CY R 67 EK;LAIKO COSMOS TRADING LTD;209 Limassol Avenue, 2540 Dhali Industrial Area, Lefkosia
CY R 68 EK;JANFOOD TRADING LTD;Aradippou Industrial Area, Larnaca
CY R 69 EK;IPH FOODSTUFF SUPPLIERS LTD;Pentagias 10, Dhali Industrial Area 2540 Dhali, Lefkosia
CY R 71 EK;KFL LOGISTICS LTD;Zenonos 9, Dhali Industrial Area, 2550 Dhali, Nicosia
CY R 73 EK;K.A.Z LTD (Kostas Zacharia Ltd);7735  Kophinou - Larnaca
CY R 75 EK;DIAPO LTD;205 Υiannou Kranidioti Avenue, Latsia, Lefkosia
CY R 76 EK;CHARALAMBIDES KRISTIS LTD;Nisou Industrial Area, P.O.Box 17102, 2261 Lefkosia
CY R 78 EK;CH. AGROKIPIOTIS ALLANTICA LTD;Pompiias 9, Strovolos Industrial Area, 2033 S t r o v o l o s  - L e f k o s i a
CY R 81 EK;KALLAS CYPRUS LTD;Ayios Sylas Industrial Area, Lemesos
CY R 82 EK;LAIKO COSMOS TRADING LTD;Goulielmou Markoni 6, 5380 Derynia Industrial Area, Ammochostos
CY R 83 EK;KONCILIA DELI  LTD;Αλπέων , Ayios Silas Industrial Area, 3310 Lemesos
CY R 85 EK;SUPERMARKET CH. HATZICHRISTOFI (ATHIENITIS) LTD;John Kennedy 26, 1046 Pallouriotissa - Lefkosia
CY R 86 EK;ALKIS H. HADJIKYRIACOS (FROU FROU BISCOUITS) PUBLIC LTD;Gregory Afxentiou 115, 2660 Kokkinotrimithia - Lefkosia
CY R 88 EK;TA PSAROKAIKA LTD;Misiaouli & Kavazoglou 1, 3017 Limassol
CY R 89 EK;THREE BAKERS LTD;Pindou 14E, Engomi Industrial Area - 2409 Lefkosia
CY R 91 EK;D. I. BAKEART LTD;Kavallou 5, Frenaros Industrial Area, 5350 Frenaros - Ammochostos
CY R 92 EK;KOLIOS MEAT MARKET;Ellados 21 - 8021 Paphos
CY R 94 EK;OCEAN BASKET WHOLESALE LIMITED;Evikou 60, Aradippou Industrial Area, 7101 Aradippou - Larnaca
CY R 95 EK;L & M MICHAELIDES LIMITED;Dioriou 8, Dhali Industrial Area, 2540 Lefkosia
CY R 96 EK;E.C. FRESH MEAT LTD;Paphoς 34Β, 3052 Lemesos
CY R 97 EK;G.& G.EMPORIO FARM LTD;4551 Phasoula, Lemesos
CY R 98 EK;LEADER TRADING LTD;Dikeosinis 3, 2234 Latsia, Lefkosia
CY R 99 EK;KEAN FOOD LINK LTD;Promachon-Eleftherias 35, 4103 Agios Athanasios, Limassol
CY RV 01 EK;FRIO FORWIN;ACHEON AKTI NAVIGATION COMPANY LTD (P.O.BOX 57504, 3316 LIMASSOL)
CY RV 04 EK;ALMA;ARMIDIA SHIPPING COMPANY LTD (Diagoras House, 16 Pantelis Kateraris street, 1097 NICOSIA)
CY RV 05 EK;BELBEK;SALONIA MARITIME COMPANY LTD (Diagoras House, 16 Pantelis Kateraris street, 1097 NICOSIA)
CY RV 08 EK;FRIO NEREUS;ACHEON AKTI NAVIGATION COMPANY LTD (P.O.BOX 57504, 3316 LIMASSOL)
CY RV 09 EK;BALTIC JASMINE;ACHEON AKTI NAVIGATION COMPANY LTD (P.O.BOX 57504, 3316 LIMASSOL)
