Nr	Namn	Postadress	Kommun	Län	Kategori	Övrig verksamhet	Djurslag	Kontrollerande myndighet	lat	lng
747	Tranhems Gård Vilthanteringsanläggning	c/o Pernilla Elisabeth Thelin, Tranhems Gård, 655 91 KARLSTAD	KARLSTAD	VÄRMLAND	CP GHE	\N	wU	Livsmedelsverket	59.3791363	13.5008041
748	Malmbäcks Vilthandel AB	Mörebergsvägen 11, 571 68 Malmbäck	NÄSSJÖ	JÖNKÖPING	CP GHE MP MM	V-MP V-MM IV-CP IV-GHE	wU wA	Livsmedelsverket	57.5827539	14.4515731
753	Värmdö Gårdsslakteri AB	Malmavägen 1, 139 60 VÄRMDÖ	VÄRMDÖ	STOCKHOLM	SH GHE	IV-GHE CS(kf) I-SH	B C O wU	Livsmedelsverket	59.2771246	18.6130818
754	Galtholmen Gårdsslakteri	c/o Morgan Tornare, Galtholmen Västergården 2, 524 96 LJUNG	HERRLJUNGA	VÄSTRA GÖTALANDS LÄN	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B O wU	Livsmedelsverket	57.9204621	13.164164
755	Örbäck gårdsslakteri	c/o Lindén Jordbruk AB, Örbäck, 591 78 KLOCKRIKE	MOTALA	ÖSTERGÖTLAND	SH	\N	O P	Livsmedelsverket	58.4984777	15.3368604
757	Vänna Gårdsslakteri	c/o Helena Vestin, Gälevägen 10, 861 91 TIMRÅ	TIMRÅ	VÄSTERNORRLAND	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B O P S wU	Livsmedelsverket	62.468211	17.2399791
758	Karlssons Lantbruk i Lauker AB	Lauker 128, 933 91 ARVIDSJAUR	ARVIDSJAUR	NORRBOTTEN	SH CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-SH I-CP	B P wU	Livsmedelsverket	65.6448737	19.8210041
759	Vreta Kaningård	c/o Gösta Johnsson, Breds-Vreta 7, 745 95 ENKÖPING	ENKÖPING	UPPSALA	SH CP	\N	L	Livsmedelsverket	59.6824427	16.8908014
760	Dellen Kött & Vilt AB	Norrberg 121, 824 79 BJURÅKER	HUDIKSVALL	GÄVLEBORG	CP GHE MM	III-CP IV-CP IV-GHE V-MM I-CP	B O P fG wU wG	Livsmedelsverket	61.9634791	16.3094734
761	VJ VILT NISSARYD AB	Nissaryd 403, 314 93 HYLTEBRUK	HYLTE	HALLAND	CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-CP	O wU	Livsmedelsverket	57.0017639	13.2420994
762	Johannishus Gods	Möllerydsvägen 11, 372 95 JOHANNISHUS	RONNEBY	BLEKINGE	CP GHE MP MM PP(mp) PP(pap)	V-MP V-MM VI-PP(mp) VI-PP(pap) CS(kf) CS(i) IV-CP IV-GHE	wU	Livsmedelsverket	56.2455528	15.4142508
763	Ahla Mossens vilthägn	c/o Vivianne Albjär, Ahla 133, 312 93 LAHOLM	LAHOLM	HALLAND	CP GHE MP MM	V-MP V-MM IV-CP IV-GHE	wU wL wA wG	Livsmedelsverket	56.5126859	13.0899662
764	Svenska Viltbutiken	Lillgården Skåäng, 610 74 Vagnhärad	TROSA	SÖDERMANLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.961771	17.4294318
766	Ekbackens Slakteri AB	Borgenvägen 13, 182 38 DANDERYD	SKARA	VÄSTRA GÖTALANDS LÄN	SH CP MM	V-MM I-SH I-CP	B O	Livsmedelsverket	59.4049296	18.0050157
767	Kruse Gårdslakteri	c/o Johan Edberg, Sproge Kruse 430, 623 44 KLINTEHAMN	GOTLAND	GOTLAND	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	O P wU	Livsmedelsverket	57.2530178	18.1714886
768	Björkvik Säteri	c/o Lars Scheple, Björkvik Förvaltarflygeln, 614 96 Östra Ryd	SÖDERKÖPING	ÖSTERGÖTLAND	CP GHE MP MM	V-MP V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.3640698	16.0953028
769	Koberg Vilt	Koberg Godskontor, 441 72 Sollebrunn	ALINGSÅS	VÄSTRA GÖTALANDS LÄN	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.1639204	12.4114743
770	Virå Bruks Slakteri	Virå Bruk, 618 95 STAVSJÖ	NYKÖPING	SÖDERMANLAND	CP GHE	\N	wU wL wA	Livsmedelsverket	58.774927	16.4538661
771	Kullerstad Gård	c/o Magnus Gustafson, Kullerstad Gård 1, 614 90 Söderköping	SÖDERKÖPING	ÖSTERGÖTLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.4691511	16.4214632
772	Hultets Hästslakteri AB	Hultet 1, 540 17 LERDALA	SKARA	VÄSTRA GÖTALANDS LÄN	SH CP	\N	S	Livsmedelsverket	58.4691306	13.6769659
774	Norsholms Viltkött	Skärkind Stubbetorp 2, 617 92 NORSHOLM	NORRKÖPING	ÖSTERGÖTLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.4678382	15.9864323
775	Ingelstorps Gård	Ingelstorps Gård 1200, 264 54 LJUNGBYHED	KLIPPAN	SKÅNE LÄN	CP GHE MP MM	V-MP V-MM IV-CP IV-GHE	wU	Livsmedelsverket	56.0741435	13.3158658
777	Samstorps Gård AB	Samstorpsvägen 16, 760 15 GRÄDDÖ	NORRTÄLJE	STOCKHOLM	CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-CP	B O P wU wL wG wA	Livsmedelsverket	59.746592	19.0034145
779	e-gården	Åbrotorpen 36, 816 90 Ockelbo	OCKELBO	GÄVLEBORG	SH CP GHE MP MM PP(mp)	II-SH II-CP IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	O L P wU	Livsmedelsverket	60.8257685	16.715211
780	Sörby Gårds vilthanteringsanläggning	c/o Lars Danielsson, Styrstad Sörby 2, 605 92 NORRKÖPING	NORRKÖPING	ÖSTERGÖTLAND	CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-CP	O wU wA	Livsmedelsverket	58.5452927	16.3228591
781	Gårdsslakteri	c/o Marcus Vikman, Kattån 6, 980 41 HAKKAS	GÄLLIVARE	NORRBOTTEN	SH CP GHE MM	III-SH III-CP IV-CP IV-GHE V-MM I-SH I-CP	B O fG wU	Livsmedelsverket	66.7128926	21.9908209
782	Lisasgården	Rotfallet 24, 775 96 KRYLBO	NORBERG	VÄSTMANLAND	SH CP	\N	L	Livsmedelsverket	60.090626	16.3524885
783	Prästakvarna Gård	Övertorp Prästakvarna, 541 91 SKÖVDE	SKÖVDE	VÄSTRA GÖTALANDS LÄN	SH CP MP MM PP(mp) PP	V-MP V-MM VI-PP(mp) IX-PP I-SH I-CP	P B	Livsmedelsverket	58.5069537	13.8232712
784	Sjöviks Hjortfarm	Västra Takene Sjövik, 661 94 SÄFFLE	SÄFFLE	VÄRMLAND	CP GHE MP MM PP(mp)	V-MP V-MM VI-PP(mp) IV-CP IV-GHE	wU	Livsmedelsverket	59.2179094	12.7929408
787	Grimsö Vilthanteringsanläggning	Grimsö Forskningsstation, 730 91 RIDDARHYTTAN	LINDESBERG	ÖREBRO	CP GHE MM	V-MM IV-CP IV-GHE	wU wL	Livsmedelsverket	59.7280042	15.4719509
788	Dagsnäs Slakt	c/o Lars Karlsson, Ugglum Skola, 521 94 Falköping	SKARA	VÄSTRA GÖTALANDS LÄN	CP GHE MM	V-MM IV-CP IV-GHE	wU wA	Livsmedelsverket	58.2338754	13.5098056
790	Bjärshög slakteri AB	Furugatan 1, 233 64 BARA	SVEDALA	SKÅNE LÄN	SH CP	II-SH I-SH I-CP	B O A	Livsmedelsverket	55.5792564	13.1880182
791	FSN Filkesboda Skog Natur	Mjönäsvägen 1520, 291 56 ARKELSTORP	KRISTIANSTAD	SKÅNE LÄN	CP GHE MM	IV-CP IV-GHE V-MM CS(kf) CS(i) I-CP	B O P wU wL wA wG	Livsmedelsverket	56.2811743	14.3874296
792	Romeleåsens viltkött AB	Risavägen 2E, 247 72 GENARP	LUND	SKÅNE LÄN	CP GHE MM	V-MM IV-CP IV-GHE	wU wL wA	Livsmedelsverket	55.5972086	13.405679
793	Mora Bäck 13:17	Kanonvägen 145, 792 96 VÅMHUS	MORA	DALARNAS LÄN	CP GHE MM	IV-CP IV-GHE V-MM I-CP	B O wU	Livsmedelsverket	61.1381357	14.4352376
795	Brohage Kött	Brohage 1, 511 95 Öxabäck	MARK	VÄSTRA GÖTALANDS LÄN	CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-CP	B O P wU wL	Livsmedelsverket	57.3772633	12.8137648
796	Fävikens Egendom AB	Fäviken 216, 837 94 JÄRPEN	ÅRE	JÄMTLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	63.4352778	13.2930555
798	Kjellgårdens Kött o Rökeri AB	Hasselbacken Kjellgården , 668 94 Bäckefors	FÄRGELANDA	VÄSTRA GÖTALANDS LÄN	CP GHE MM PP(mp)	IV-CP IV-GHE V-MM VI-PP(mp) I-CP	B P wU	Livsmedelsverket	58.7791542	12.0864148
803	Froskonbäcken Fältslakteri HB	Box 2129, 912 98 KLIMPFJÄLL	VILHELMINA	VÄSTERBOTTEN	SH	\N	fG	Livsmedelsverket	65.063565	14.8089431
807	Gabna Sameby	Box 89, 981 22 Kiruna	KIRUNA	NORRBOTTEN	SH	\N	fG	Livsmedelsverket	67.8557995	20.225282
808	Svantes Vilt och Bär AB	Edeforsvägen 73, 960 24 Harads	BODEN	NORRBOTTEN	SH CP GHE MP MM PP(mp) FFPP	IV-CP IV-GHE V-MP V-MM VI-PP(mp) VIII-FFPP CS(kf) CS(i) III-SH III-CP	fG wU wG wA	Livsmedelsverket	66.0976069	20.9412823
811	Slakteri Höste nr 811	c/o Idre Nya Sameby, Box 123, 790 91 Idre	ÄLVDALEN	DALARNAS LÄN	SH CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) III-SH III-CP	fG	Livsmedelsverket	61.8579165	12.7132417
812	Jillie Ren & Vilt AB	Industrivägen 21, 840 96 Ljusnedal	HÄRJEDALEN	JÄMTLAND	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) III-CP	fG wU wG	Livsmedelsverket	62.52727	12.5972831
814	Stenbergs Vilt AB	Ställverksvägen 29, 981 38 Kiruna	KIRUNA	NORRBOTTEN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) III-SH III-CP	fG wU wG	Livsmedelsverket	67.8446282	20.3098303
815	Stekenjokk Ren AB	Box 2077, 912 98 Klimpfjäll	VILHELMINA	VÄSTERBOTTEN	CP MP PP(mp)	V-MP VI-PP(mp) III-CP	fG	Livsmedelsverket	65.063395	14.809684
843	Laestadius Kött och Vilt AB	Box 68, 980 14 Övre Soppero	KIRUNA	NORRBOTTEN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) III-SH III-CP	fG wU	Livsmedelsverket	68.0907164	21.700781
851	Luokta-Mavas Sameby	Box 200, 962 25 Jokkmokk	ARJEPLOG	NORRBOTTEN	SH	\N	fG	Livsmedelsverket	66.6069609	19.8229207
852	Mittådalens Sameby	Mittådalen 275, 840 95 Funäsdalen	HÄRJEDALEN	JÄMTLAND	SH	\N	fG	Livsmedelsverket	62.6920641	12.6737773
854	W. Eliassons Partiaffär AB	Laestadiusvägen 70, 980 16 Karesuando	KIRUNA	NORRBOTTEN	CP SH GHE MP MM PP(mp)	III-SH III-CP IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-CP	fG P wU wG	Livsmedelsverket	68.4387423	22.4680298
860	Polarica AB	Box 27, 953 21 Haparanda	HAPARANDA	NORRBOTTEN	CP MP MM	IV-CP V-MP V-MM CS(kf) CS(i) III-CP	fG wU	Livsmedelsverket	65.8417085	24.1276643
861	Arvidsjaur Renslakt AB	Larstorpsvägen 22, 933 34 Arvidsjaur	ARVIDSJAUR	NORRBOTTEN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) III-SH III-CP	fG wU	Livsmedelsverket	65.5826528	19.2196839
863	Swedish Wild Meat AB	Nagasjötjälen 275, 833 59 Hoting	STRÖMSUND	JÄMTLAND	CP GHE MM	III-CP IV-CP IV-GHE V-MM I-CP	P fG wU wL wA wG	Livsmedelsverket	63.948092	16.0657715
900	Orkla Foods Sverige AB	Hagaberg, 456 81 Kungshamn	SOTENÄS	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.3574748	11.2456769
901	Marenor AB	Box 23, 456 21 KUNGSHAMN	LYSEKIL	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.3594831	11.2594186
903	Marenor AB	Grötövägen 25, 453 30 Lysekil	LYSEKIL	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.2732347	11.4471306
904	Astrid Fiskexport AB	Box 2066, 471 11 Rönnäng	TJÖRN	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Livsmedelsverket	57.9389854	11.5817166
906	Marenor AB	Box 23, 456 21 Kungshamn	SOTENÄS	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.3594831	11.2594186
907	Leröy Allt i Fisk AB	Fiskhamnen 11, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Kommunen	57.6981359	11.9248297
909	Nordsjöfisk AB	Kalkylvägen 4, 435 33 Mölnlycke	HÄRRYDA	VÄSTRA GÖTALANDS LÄN	FFPP PP	CS(kf)	\N	Livsmedelsverket	57.6806515	12.0913861
911	Havspalatset AB	Fiskhamnen 7, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Kommunen	57.6983742	11.9261833
912	B Kullbergs Fiskexport AB	c/o Valje Rökeri, Sissebäcksvägen 71, 294 77 Sölvesborg	SÖLVESBORG	BLEKINGE	FFPP	\N	\N	Livsmedelsverket	56.0721514	14.5453329
913	Falkeskog Delikatesser AB	Västra Hamnvägen, Nogersunds Hamn, 294 95 SÖLVESBORG	SÖLVESBORG	BLEKINGE	FFPP PP	CS(kf)	\N	Livsmedelsverket	56.0040435	14.7335462
914	Roslagsfisk	Ekbacksvägen 36, 764 56 Grisslehamn	NORRTÄLJE	STOCKHOLM	FFPP PP	\N	\N	Livsmedelsverket	60.1006478	18.7776606
916	Bläckfisken	Fiskhamnen, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Kommunen	57.6987463	11.9268657
917	Klädesholmen Seafood AB	Rytterholmen 1, 471 51 Klädesholmen	TJÖRN	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	57.948755	11.5492828
918	Sweden Seafood i Göteborg AB	Fiskhamnsgatan 33, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Kommunen	57.6978488	11.9201026
920	Leröy Smögen Seafood AB	Box 24, 456 25 Smögen	SOTENÄS	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Livsmedelsverket	58.366921	11.2436906
922	Göteborgs fiskauktionsförening	Fiskhamnen, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	AH	\N	\N	Kommunen	57.6987463	11.9268657
931	Hjälmarfisk AB	Fiskhamnsgatan 33, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Livsmedelsverket	57.6978488	11.9201026
932	Fiskkompaniet Göteborg AB	Fiskhamnen, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	WM	\N	\N	Kommunen	57.6987463	11.9268657
933	Savolax-Eurofish AB	Fiskhamnsgatan 31, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Kommunen	57.6980584	11.9221168
935	Sejrbo & Son AB	Dymöllan 2359, 264 92 Klippan	KLIPPAN	SKÅNE LÄN	FFPP PP	\N	\N	Livsmedelsverket	56.1129398	13.093236
943	Grebbestadsfisk ek. för.	Ångbåtskajen 1, 457 72 Grebbestad	TANUM	VÄSTRA GÖTALANDS LÄN	FFPP PP	CS(kf)	\N	Livsmedelsverket	58.6869663	11.2565063
946	Skillinge Fisk-Impex AB- Fryshuset	Kyhlsvägen 16, 276 60 SKILLINGE	SIMRISHAMN	SKÅNE LÄN	FFPP	CS(kf)	\N	Livsmedelsverket	55.4702445	14.2784069
949	Buafisk Ek för	Hamnvägen 2 B, 432 64 Bua	VARBERG	HALLAND	CS(k)	\N	\N	Livsmedelsverket	57.2401724	12.111781
950	Varbergsfisk Ek för	Strandbackavägen 140, 432 75 Träslövsläge	VARBERG	HALLAND	CS(k)	\N	\N	Livsmedelsverket	57.0584233	12.2709724
951	Scandic Pelagic Ellös AB	Hallgrens väg 1, 474 31 Ellös	ORUST	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Livsmedelsverket	58.1851773	11.4699038
952	Falkeskog Delikatesser AB	Strandvägen 21, 294 72 SÖLVESBORG	SÖLVESBORG	BLEKINGE	PP	CS(kf)	\N	Livsmedelsverket	56.0104899	14.6965618
953	Salmona Delikatesser AB	Skeppstavägen 6, 124 30 Bandhagen	STOCKHOLM	STOCKHOLM	FFPP PP	CS(kf)	\N	Kommunen	59.2675639	18.0554304
958	Smögens Fiskauktion	Fiskhamnsgatan 31, 456 51 SMÖGEN	SOTENÄS	VÄSTRA GÖTALANDS LÄN	AH	CS(kf) CS(i)	\N	Livsmedelsverket	58.3536205	11.2284257
959	Finap AB	Varvsallén 19, 871 45 Härnösand	HÄRNÖSAND	VÄSTERNORRLAND	FFPP PP	\N	\N	Livsmedelsverket	62.6495766	17.9320334
960	CeGe Fisk AB	Fiskhamnen 13, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Kommunen	57.6995306	11.9283192
964	Leröy Seafood AB (Lager öst/Fish cut)	FE840, 105 69 STOCKHOLM	STOCKHOLM	STOCKHOLM	DC FFPP PP	VIII-FFPP VIII-PP VII-DC	\N	Kommunen	59.3293235	18.0685808
965	AB Superb Produkt	Musseronvägen 3, 141 60 Huddinge	HUDDINGE	STOCKHOLM	PP	\N	\N	Livsmedelsverket	59.2275762	17.9941743
967	Hugosson & Persson Fisk AB	Hamnplan 4-6, 294 95 Sölvesborg	SÖLVESBORG	BLEKINGE	FFPP	CS(kf)	\N	Livsmedelsverket	56.005152	14.7378262
970	Bröderna Hanssons i Göteborg Export AB	Fiskhamnen, 414 58 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Livsmedelsverket	57.6987463	11.9268657
972	Korshags Food AB	Servicevägen 3, 311 32 Falkenberg	FALKENBERG	HALLAND	PP	\N	\N	Kommunen	56.9073387	12.4612198
973	BD-Fisk AB	Besiktningsvägen 10, 973 45 Luleå	LULEÅ	NORRBOTTEN	FFPP PP	CS(kf)	\N	Livsmedelsverket	65.620305	22.0475066
979	Marenor Varberg AB	Värnamovägen 4, 432 32 Varberg	VARBERG	HALLAND	FFPP PP	CS(kf)	\N	Livsmedelsverket	57.1221554	12.2650879
980	Björk & Magnusson i Helsingborg AB	Torbornavägen 32, 253 68 Helsingborg	HELSINGBORG	SKÅNE LÄN	CP MM FFPP PP	V-MM VIII-FFPP VIII-PP CS(kf) I-CP	B P	Livsmedelsverket	56.004719	12.7709055
981	Bruksvallarnas Rökeri AB	Kyrkogårdsvägen 8, 840 97 Bruksvallarna	HÄRJEDALEN	JÄMTLAND	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Kommunen	62.6393093	12.4368872
982	Rönnbäcks Fisk AB	Tornedalsvägen 119, 984 31 Pajala	PAJALA	NORRBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	67.2023316	23.4007013
986	Skillinge Fisk-Impex AB	Kyhlsvägen 16, 276 60 Skillinge	SIMRISHAMN	SKÅNE LÄN	FFPP PP	\N	\N	Livsmedelsverket	55.4702445	14.2784069
988	Gotlandia AB	Dalhem Gandarve 167, 622 56 Dalhem	GOTLAND	GOTLAND	PP	\N	\N	Livsmedelsverket	57.5458182	18.5333534
990	BD-Fisk AB	Besiktningsvägen 10, 973 45 Luleå	KALIX	NORRBOTTEN	PP	\N	\N	Livsmedelsverket	65.620305	22.0475066
996	Matgard AB	Skraggevägen 6, 663 41 Hammarö	HAMMARÖ	VÄRMLAND	FFPP	CS(kf)	\N	Livsmedelsverket	59.3432833	13.4999316
998	AB HH Fiskdelikatesser	Övermo Millavägen 14, 793 35 Leksand	LEKSAND	DALARNAS LÄN	FFPP PP	CS(kf)	\N	Livsmedelsverket	60.7231757	15.0197227
999	Bexanders Rökeri	Fiskhallsvägen 6, 120 44 Årsta	STOCKHOLM	STOCKHOLM	CS(f) CS(k) FFPP	VIII-FFPP 0-CS(f) 0-CS(k)	\N	Kommunen	59.2921201	18.0304914
1001	Norrmejerier	Box 941, 971 28 Luleå	LULEÅ	NORRBOTTEN	PP	\N	B	Livsmedelsverket	65.584819	22.1567026
1002	Norrmejerier	Kamvägen 10, 937 31 Burträsk	SKELLEFTEÅ	VÄSTERBOTTEN	PP	\N	B	Livsmedelsverket	64.5207474	20.6562289
1005	Norrmejerier	Mejerivägen 2, 906 22 Umeå	UMEÅ	VÄSTERBOTTEN	PP	CS(kf)	B	Livsmedelsverket	63.8505959	20.3460186
1009	Arla Foods AB	Box 713, 851 21 Sundsvall	SUNDSVALL	VÄSTERNORRLAND	PP	CS(kf)	B	Livsmedelsverket	62.390811	17.306927
1010	Arla Foods	Rådhusgatan 96-98, 831 45 Östersund	ÖSTERSUND	JÄMTLAND	PP	CS(kf)	B	Livsmedelsverket	63.1664235	14.6494808
1011	Foodmark AB	Box 73, 136 22 HANINGE	HANINGE	STOCKHOLM	PP	\N	B	Livsmedelsverket	59.1783175	18.1564414
1017	Grådö Mejeri	Mejerivägen 4, 776 92 HEDEMORA	HEDEMORA	DALARNAS LÄN	PP	CS(kf)	B	Livsmedelsverket	60.2457783	16.0308677
1022	Arla Foods AB	Mejerivägen, 598 40 Vimmerby	VIMMERBY	KALMAR	PP(p)	\N	B	Livsmedelsverket	57.6540849	15.8597063
1023	Hjordnära Mejeri AB	Nygården, 544 92 Hjo	HJO	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.3316613	14.2513369
1024	Emåmejeriet	Grenvägen 3, 577 39 Hultsfred	HULTSFRED	KALMAR	PP	CS(kf)	B	Livsmedelsverket	57.5006827	15.8260617
1028	Arla Foods AB	Box 1012, 551 11 Jönköping	JÖNKÖPING	JÖNKÖPING	PP	CS(kf)	B	Livsmedelsverket	57.7826137	14.1617876
1029	Arla Foods AB	Box 2510, 176 02 Järfälla	JÄRFÄLLA	STOCKHOLM	PP	CS(kf)	B	Livsmedelsverket	59.410065	17.836804
1031	Arla Foods AB	Box 1023, 581 10 Linköping	LINKÖPING	ÖSTERGÖTLAND	PP	\N	B	Livsmedelsverket	58.410807	15.6213728
1035	Arla Foods AB	Box 1094, 621 21 Visby	GOTLAND	GOTLAND	PP	CS(kf)	B	Livsmedelsverket	57.6348	18.29484
1040	Arla Foods AB Falkenbergs Mejeri	Årstadvägen 3, 311 44 Falkenberg	FALKENBERG	HALLAND	PP	\N	B	Livsmedelsverket	56.8978768	12.5363341
1042	Arla Foods AB	SC Götene BSM, 533 82 Götene	GÖTENE	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.528002	13.491428
1044	Arla Foods AB	Göteborgsvägen 514, 305 78 Kvibille	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.7784809	12.8278679
1053	Arla Foods AB/Götene Ost 1053	-, 533 82 Götene	GÖTENE	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.528002	13.491428
1054	Arla Foods AB/Alexander 1054	-, 533 82 Götene	GÖTENE	VÄSTRA GÖTALANDS LÄN	RW	CS(kf)	\N	Livsmedelsverket	58.528002	13.491428
1055	Semper Götene	Lidköpingsvägen 28, 533 82 Götene	GÖTENE	VÄSTRA GÖTALANDS LÄN	PP(p)	\N	\N	Livsmedelsverket	58.5290204	13.4877742
1057	Barry Callebaut Sweden AB	Böketoftavägen 23, 268 77 Kågeröd	SVALÖV	SKÅNE LÄN	PP(p)	\N	\N	Livsmedelsverket	56.0049499	13.078941
1061	Orkla Foods Sverige AB	Box 945, 701 31 Örebro	ÖREBRO	ÖREBRO	PP PP(p)	\N	B	Livsmedelsverket	59.2752626	15.2134105
1065	Lantmännen Cerealia AB	Box 69, 312 21 Laholm	LAHOLM	HALLAND	PP(mp)	\N	\N	Kommunen	56.5057557	13.0456048
1070	Gäsene Mejeriförening	Alingsåsvägen 32, 524 41 Ljung	HERRLJUNGA	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	57.9895282	13.0578
1071	Falköpings Mejeri	Odengatan 6, 521 43 Falköping	FALKÖPING	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.1655681	13.5480001
1074	Kristianstads Ostförädling AB	Industrigatan 52, 291 36 Kristianstad	KRISTIANSTAD	SKÅNE LÄN	RW	CS(kf)	\N	Livsmedelsverket	56.0532531	14.1656307
1077	Kristianstads Mejeri AB	Näsbyholmsvägen 1, 291 35 Kristianstad	KRISTIANSTAD	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	56.0420165	14.1560394
1078	Malmö Mejeri AB (Skånemejerier)	c/o Skånemejerier AB, Box 7025, 200 42 Malmö	MALMÖ	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	55.5615688	13.0621149
1081	Upfield Helsingborg	Box 721, 251 07 HELSINGBORG	HELSINGBORG	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	56.0464674	12.6945121
1090	Almondy AB	Flygfältsgatan 10, 418 78 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Kommunen	57.7146356	11.78869
1091	SIA Glass AB	Stenlösvägen 33, 311 68 Slöinge	FALKENBERG	HALLAND	PP	CS(kf)	B	Livsmedelsverket	56.8566959	12.6827691
1095	O. Kavli AB	Box 30, 125 21 Älvsjö	STOCKHOLM	STOCKHOLM	PP	\N	B	Kommunen	59.2744881	18.0051297
1096	Orkla Foods Sverige AB	Skolgatan 2, Frödinge, 598 95 Vimmerby	VIMMERBY	KALMAR	PP	\N	B	Livsmedelsverket	57.6981088	16.0045753
1099	Arla Foods AB	Box 747, 391 27 Kalmar	KALMAR	KALMAR	PP	\N	B	Livsmedelsverket	56.6634447	16.3567791
1200	Källbergs industri AB	Box 73, 545 22 Töreboda	TÖREBODA	VÄSTRA GÖTALANDS LÄN	PP	\N	A	Livsmedelsverket	58.7055092	14.1261468
1203	Mixum AB	Turbinvägen 18, 591 61 Motala	MOTALA	ÖSTERGÖTLAND	PP(mp) PP	X-PP CS(kf) VI-PP(mp)	A	Livsmedelsverket	58.5600146	15.0579485
1204	DAVA Foods Sweden AB	Box 333, 532 24 Skara	SKARA	VÄSTRA GÖTALANDS LÄN	PP	\N	A	Livsmedelsverket	58.3860128	13.4393281
1207	Ostkaksbageriet i Vrigstad AB	Mejerigatan 4 B, 576 96 Vrigstad	SÄVSJÖ	JÖNKÖPING	PP	\N	A	Livsmedelsverket	57.354366	14.4786759
