Commune;Codepos;Departement;INSEE
ST JULIEN EN QUINT;26150;DROME;26308
ST JULIEN EN VERCORS;26420;DROME;26309
ST LAURENT D ONAY;26350;DROME;26310
ST LAURENT EN ROYANS;26190;DROME;26311
ST MARCEL LES SAUZET;26740;DROME;26312
ST MARCEL LES VALENCE;26320;DROME;26313
ST MARTIN D AOUT;26330;DROME;26314
ST MARTIN EN VERCORS;26420;DROME;26315
ST MARTIN LE COLONEL;26190;DROME;26316
ST MAURICE SUR EYGUES;26110;DROME;26317
ST MAY;26510;DROME;26318
ST MICHEL SUR SAVASSE;26750;DROME;26319
ST NAZAIRE EN ROYANS;26190;DROME;26320
ST NAZAIRE LE DESERT;26340;DROME;26321
ST PANTALEON LES VIGNES;26770;DROME;26322
ST PAUL LES ROMANS;26750;DROME;26323
ST PAUL TROIS CHATEAUX;26130;DROME;26324
ST RAMBERT D ALBON;26140;DROME;26325
ST RESTITUT;26130;DROME;26326
ST ROMAN;26410;DROME;26327
ST SAUVEUR EN DIOIS;26340;DROME;26328
ST SAUVEUR GOUVERNET;26110;DROME;26329
ST SORLIN EN VALLOIRE;26210;DROME;26330
ST THOMAS EN ROYANS;26190;DROME;26331
ST UZE;26240;DROME;26332
ST VALLIER;26240;DROME;26333
SALETTES;26160;DROME;26334
SALLES SOUS BOIS;26770;DROME;26335
SAOU;26400;DROME;26336
SAULCE SUR RHONE;26270;DROME;26337
SAUZET;26740;DROME;26338
SAVASSE;26740;DROME;26339
SEDERON;26560;DROME;26340
SERVES SUR RHONE;26600;DROME;26341
SOLERIEUX;26130;DROME;26342
SOUSPIERRE;26160;DROME;26343
SOYANS;26400;DROME;26344
SUZE LA ROUSSE;26790;DROME;26345
SUZE;26400;DROME;26346
TAIN L HERMITAGE;26600;DROME;26347
TAULIGNAN;26770;DROME;26348
TERSANNE;26390;DROME;26349
TEYSSIERES;26220;DROME;26350
LES TONILS;26460;DROME;26351
LA TOUCHE;26160;DROME;26352
LES TOURRETTES;26740;DROME;26353
TRESCHENU CREYERS;26410;DROME;26354
TRIORS;26750;DROME;26355
TRUINAS;26460;DROME;26356
TULETTE;26790;DROME;26357
UPIE;26120;DROME;26358
VACHERES EN QUINT;26150;DROME;26359
VALAURIE;26230;DROME;26360
VALDROME;26310;DROME;26361
VALENCE;26000;DROME;26362
VALOUSE;26110;DROME;26363
VASSIEUX EN VERCORS;26420;DROME;26364
VAUNAVEYS LA ROCHETTE;26400;DROME;26365
VEAUNES;26600;DROME;26366
VENTEROL;26110;DROME;26367
VERCHENY;26340;DROME;26368
VERCLAUSE;26510;DROME;26369
VERCOIRAN;26170;DROME;26370
VERONNE;26340;DROME;26371
VERS SUR MEOUGE;26560;DROME;26372
VESC;26220;DROME;26373
VILLEBOIS LES PINS;05700;HAUTES ALPES;26374
VILLEFRANCHE LE CHATEAU;26560;DROME;26375
VILLEPERDRIX;26510;DROME;26376
VINSOBRES;26110;DROME;26377
VOLVENT;26470;DROME;26378
GRANGES LES BEAUMONT;26600;DROME;26379
GERVANS;26600;DROME;26380
JAILLANS;26300;DROME;26381
ST VINCENT LA COMMANDERIE;26300;DROME;26382
CREUX DE LA THINE;26140;DROME;26901
DERBIERES;26740;DROME;26902
FAUCONNIERES;26120;DROME;26903
LA PAILLASSE;26800;DROME;26904
LA VACHERIE;26190;DROME;26905
L ECANCIERE;26730;DROME;26906
LES BARRAQUES EN VERCORS;26420;DROME;26907
LES PETITS ROBINS;26250;DROME;26908
LES REYS DE SAULCE;26270;DROME;26909
L HOMME D ARMES;26740;DROME;26910
PARLANGES;26120;DROME;26911
PIZANCON;26300;DROME;26912
ST DIDIER DE CHARPEY;26300;DROME;26913
COL DE ROUSSET;26420;DROME;26914
ROUSSET EN VERCORS;26420;DROME;26915
ACLOU;27800;EURE;27001
ACON;27570;EURE;27002
ACQUIGNY;27400;EURE;27003
AIGLEVILLE;27120;EURE;27004
AILLY;27600;EURE;27005
AIZIER;27500;EURE;27006
AJOU;27410;EURE;27007
ALIZAY;27460;EURE;27008
AMBENAY;27250;EURE;27009
AMECOURT;27140;EURE;27010
AMFREVILLE LA CAMPAGNE;27370;EURE;27011
AMFREVILLE LES CHAMPS;27380;EURE;27012
AMFREVILLE SOUS LES MONTS;27380;EURE;27013
AMFREVILLE SUR ITON;27400;EURE;27014
ANDE;27430;EURE;27015
LES ANDELYS;27700;EURE;27016
ANGERVILLE LA CAMPAGNE;27930;EURE;27017
APPEVILLE ANNEBAULT;27290;EURE;27018
ARMENTIERES SUR AVRE;27820;EURE;27019
ARNIERES SUR ITON;27180;EURE;27020
ASNIERES;27260;EURE;27021
AUBEVOYE;27940;EURE;27022
AULNAY SUR ITON;27180;EURE;27023
LE RONCENAY AUTHENAY;27240;EURE;27024
AUTHEUIL AUTHOUILLET;27490;EURE;27025
AUTHEVERNES;27420;EURE;27026
LES AUTHIEUX;27220;EURE;27027
AUTHOU;27290;EURE;27028
AUTHOUILLET;27490;EURE;27029
AUVERGNY;27250;EURE;27030
AVIRON;27930;EURE;27031
AVRILLY;27240;EURE;27032
BACQUEPUIS;27930;EURE;27033
BACQUEVILLE;27440;EURE;27034
BAILLEUL LA VALLEE;27260;EURE;27035
BALINES;27130;EURE;27036
BARC;27170;EURE;27037
LES BARILS;27130;EURE;27038
BARNEVILLE SUR SEINE;27310;EURE;27039
BARQUET;27170;EURE;27040
LA BARRE EN OUCHE;27330;EURE;27041
BARVILLE;27230;EURE;27042
LES BAUX DE BRETEUIL;27160;EURE;27043
LES BAUX STE CROIX;27180;EURE;27044
BAZINCOURT SUR EPTE;27140;EURE;27045
BAZOQUES;27230;EURE;27046
BEAUBRAY;27190;EURE;27047
BEAUFICEL EN LYONS;27480;EURE;27048
BEAUMESNIL;27410;EURE;27049
BEAUMONTEL;27170;EURE;27050
BEAUMONT LE ROGER;27170;EURE;27051
LE BEC HELLOUIN;27800;EURE;27052
LE BEC THOMAS;27370;EURE;27053
BEMECOURT;27160;EURE;27054
BERENGEVILLE LA CAMPAGNE;27110;EURE;27055
BERNAY;27300;EURE;27056
BERNIENVILLE;27180;EURE;27057
BERNIERES SUR SEINE;27700;EURE;27058
BERNOUVILLE;27660;EURE;27059
BERTHENONVILLE;27630;EURE;27060
BERTHOUVILLE;27800;EURE;27061
BERVILLE EN ROUMOIS;27520;EURE;27062
BERVILLE LA CAMPAGNE;27170;EURE;27063
BERVILLE SUR MER;27210;EURE;27064
BEUZEVILLE;27210;EURE;27065
BEZU LA FORET;27480;EURE;27066
BEZU ST ELOI;27660;EURE;27067
BOIS ANZERAY;27330;EURE;27068
BOIS ARNAULT;27250;EURE;27069
BOISEMONT;27150;EURE;27070
LE BOIS HELLAIN;27260;EURE;27071
BOIS JEROME ST OUEN;27620;EURE;27072
BOIS LE ROI;27220;EURE;27073
BOISNEY;27800;EURE;27074
BOIS NORMAND PRES LYRE;27330;EURE;27075
BOISSET LES PREVANCHES;27120;EURE;27076
BOISSEY LE CHATEL;27520;EURE;27077
LA BOISSIERE;27220;EURE;27078
BOISSY LAMBERVILLE;27300;EURE;27079
BOISSY SUR DAMVILLE;27240;EURE;27080
BONCOURT;27120;EURE;27081
LA BONNEVILLE SUR ITON;27190;EURE;27082
BONNEVILLE APTOT;27290;EURE;27083
BOSC BENARD COMMIN;27520;EURE;27084
BOSC BENARD CRESCY;27310;EURE;27085
BOSCHERVILLE;27520;EURE;27086
LE BOSC MOREL;27270;EURE;27087
BOSC RENOULT EN OUCHE;27330;EURE;27088
BOSC RENOULT EN ROUMOIS;27520;EURE;27089
BOSC ROGER EN ROUMOIS;27670;EURE;27090
BOSGOUET;27310;EURE;27091
BOSGUERARD DE MARCOUVILLE;27520;EURE;27092
BOSNORMAND;27670;EURE;27093
BOSQUENTIN;27480;EURE;27094
BOSROBERT;27800;EURE;27095
LES BOTTEREAUX;27250;EURE;27096
BOUAFLES;27700;EURE;27097
BOUCHEVILLIERS;27150;EURE;27098
LE BOULAY MORIN;27930;EURE;27099
BOULLEVILLE;27210;EURE;27100
BOUQUELON;27500;EURE;27101
BOUQUETOT;27310;EURE;27102
BOURG ACHARD;27310;EURE;27103
BOURG BEAUDOIN;27380;EURE;27104
BOURGTHEROULDE INFREVILLE;27520;EURE;27105
BOURNAINVILLE FAVEROLLES;27230;EURE;27106
BOURNEVILLE;27500;EURE;27107
BOURTH;27580;EURE;27108
BRAY;27170;EURE;27109
BRESTOT;27350;EURE;27110
BRETAGNOLLES;27220;EURE;27111
BRETEUIL;27160;EURE;27112
BRETIGNY;27800;EURE;27113
BREUILPONT;27640;EURE;27114
BREUX SUR AVRE;27570;EURE;27115
BRIONNE;27800;EURE;27116
BROGLIE;27270;EURE;27117
BROSVILLE;27930;EURE;27118
BUEIL;27730;EURE;27119
BUREY;27190;EURE;27120
BUS ST REMY;27630;EURE;27121
CAHAIGNES;27420;EURE;27122
CAILLOUET ORGEVILLE;27120;EURE;27123
CAILLY SUR EURE;27490;EURE;27124
CALLEVILLE;27800;EURE;27125
CAMPIGNY;27500;EURE;27126
CANAPPEVILLE;27400;EURE;27127
CANTIERS;27420;EURE;27128
CAORCHES ST NICOLAS;27300;EURE;27129
CAPELLES LES GRANDS;27270;EURE;27130
CARSIX;27300;EURE;27131
CAUGE;27180;EURE;27132
CAUMONT;27310;EURE;27133
CAUVERVILLE EN ROUMOIS;27350;EURE;27134
CESSEVILLE;27110;EURE;27135
CHAIGNES;27120;EURE;27136
CHAISE DIEU DU THEIL;27580;EURE;27137
CHAMBLAC;27270;EURE;27138
CHAMBORD;27250;EURE;27139
CHAMBRAY;27120;EURE;27140
CHAMP DOLENT;27190;EURE;27141
CHAMPENARD;27600;EURE;27142
CHAMPIGNOLLES;27330;EURE;27143
CHAMPIGNY LA FUTELAYE;27220;EURE;27144
CHANTELOUP;27240;EURE;27145
LA CHAPELLE BAYVEL;27260;EURE;27146
LA CHAPELLE DU BOIS DES F;27930;EURE;27147
LA CHAPELLE GAUTHIER;27270;EURE;27148
LA CHAPELLE HARENG;27230;EURE;27149
LA CHAPELLE REANVILLE;27950;EURE;27150
CHARLEVAL;27380;EURE;27151
CHATEAU SUR EPTE;27420;EURE;27152
CHAUVINCOURT PROVEMONT;27150;EURE;27153
CHAVIGNY BAILLEUL;27220;EURE;27154
CHENNEBRUN;27820;EURE;27155
CHERONVILLIERS;27250;EURE;27156
LE CHESNE;27160;EURE;27157
CIERREY;27930;EURE;27158
CINTRAY;27160;EURE;27159
CIVIERES;27630;EURE;27160
CLAVILLE;27180;EURE;27161
COLLANDRES QUINCARNON;27190;EURE;27162
COLLETOT;27500;EURE;27163
COMBON;27170;EURE;27164
CONCHES EN OUCHE;27190;EURE;27165
CONDE SUR ITON;27160;EURE;27166
CONDE SUR RISLE;27290;EURE;27167
CONNELLES;27430;EURE;27168
CONTEVILLE;27210;EURE;27169
CORMEILLES;27260;EURE;27170
LE CORMIER;27120;EURE;27171
CORNEUIL;27240;EURE;27172
CORNEVILLE LA FOUQUETIERE;27300;EURE;27173
CORNEVILLE SUR RISLE;27500;EURE;27174
CORNY;27700;EURE;27175
COUDRAY;27150;EURE;27176
COUDRES;27220;EURE;27177
COULONGES;27240;EURE;27178
COURBEPINE;27300;EURE;27179
COURCELLES SUR SEINE;27940;EURE;27180
COURDEMANCHE;27320;EURE;27181
COURTEILLES;27130;EURE;27182
LA COUTURE BOUSSEY;27750;EURE;27183
CRASVILLE;27400;EURE;27184
CRESTOT;27110;EURE;27185
CRETON;27240;EURE;27186
CRIQUEBEUF LA CAMPAGNE;27110;EURE;27187
CRIQUEBEUF SUR SEINE;27340;EURE;27188
LA CROISILLE;27190;EURE;27189
CROISY SUR EURE;27120;EURE;27190
LA CROIX ST LEUFROY;27490;EURE;27191
CROSVILLE LA VIEILLE;27110;EURE;27192
CROTH;28520;EURE ET LOIR;27193
CUVERVILLE;27700;EURE;27194
DAME MARIE;27160;EURE;27195
LES DAMPS;27340;EURE;27196
DAMPSMESNIL;27630;EURE;27197
DAMVILLE;27240;EURE;27198
DANGU;27720;EURE;27199
DARDEZ;27930;EURE;27200
DAUBEUF LA CAMPAGNE;27110;EURE;27201
DAUBEUF PRES VATTEVILLE;27430;EURE;27202
DOUAINS;27120;EURE;27203
DOUDEAUVILLE EN VEXIN;27150;EURE;27204
DOUVILLE SUR ANDELLE;27380;EURE;27205
DROISY;27320;EURE;27206
DRUCOURT;27230;EURE;27207
DURANVILLE;27230;EURE;27208
ECAQUELON;27290;EURE;27209
ECARDENVILLE LA CAMPAGNE;27170;EURE;27210
ECARDENVILLE SUR EURE;27490;EURE;27211
ECAUVILLE;27110;EURE;27212
ECOS;27630;EURE;27213
ECOUIS;27440;EURE;27214
ECQUETOT;27110;EURE;27215
EMALLEVILLE;27930;EURE;27216
EMANVILLE;27190;EURE;27217
EPAIGNES;27260;EURE;27218
EPEGARD;27110;EURE;27219
EPIEDS;27730;EURE;27220
EPINAY;27330;EURE;27221
EPREVILLE EN LIEUVIN;27560;EURE;27222
EPREVILLE EN ROUMOIS;27310;EURE;27223
EPREVILLE PRES LE NEUBOUR;27110;EURE;27224
LES ESSARTS;27240;EURE;27225
ETREPAGNY;27150;EURE;27226
ETREVILLE;27350;EURE;27227
ETURQUERAYE;27350;EURE;27228
EVREUX;27000;EURE;27229
EZY SUR EURE;27530;EURE;27230
FAINS;27120;EURE;27231
FARCEAUX;27150;EURE;27232
FATOUVILLE GRESTAIN;27210;EURE;27233
FAUVILLE;27930;EURE;27234
FAVEROLLES LA CAMPAGNE;27190;EURE;27235
FAVEROLLES LES MARES;27230;EURE;27236
LE FAVRIL;27230;EURE;27237
FERRIERES HAUT CLOCHER;27190;EURE;27238
FERRIERES ST HILAIRE;27270;EURE;27239
LA FERRIERE SUR RISLE;27760;EURE;27240
FEUGUEROLLES;27110;EURE;27241
LE FIDELAIRE;27190;EURE;27242
FIQUEFLEUR EQUAINVILLE;27210;EURE;27243
FLANCOURT CATELON;27310;EURE;27244
FLEURY LA FORET;27480;EURE;27245
FLEURY SUR ANDELLE;27380;EURE;27246
FLIPOU;27380;EURE;27247
FOLLEVILLE;27230;EURE;27248
FONTAINE BELLENGER;27600;EURE;27249
FONTAINE HEUDEBOURG;27490;EURE;27250
FONTAINE L ABBE;27300;EURE;27251
FONTAINE LA LOUVET;27230;EURE;27252
FONTAINE LA SORET;27550;EURE;27253
FONTAINE SOUS JOUY;27120;EURE;27254
FONTENAY;27510;EURE;27255
LA FORET DU PARC;27220;EURE;27256
FORET LA FOLIE;27510;EURE;27257
FORT MOVILLE;27210;EURE;27258
FOUCRAINVILLE;27220;EURE;27259
FOULBEC;27210;EURE;27260
FOUQUEVILLE;27370;EURE;27261
FOURGES;27630;EURE;27262
FOURMETOT;27500;EURE;27263
FOURS EN VEXIN;27630;EURE;27264
FRANCHEVILLE;27160;EURE;27265
FRANQUEVILLE;27800;EURE;27266
FRENEUSE SUR RISLE;27290;EURE;27267
LE FRESNE;27190;EURE;27268
FRESNE CAUVERVILLE;27260;EURE;27269
FRESNE L ARCHEVEQUE;27700;EURE;27270
FRESNEY;27220;EURE;27271
LES FRETILS;27250;EURE;27272
GADENCOURT;27120;EURE;27273
GAILLARDBOIS CRESSENVILLE;27440;EURE;27274
GAILLON;27600;EURE;27275
GAMACHES EN VEXIN;27150;EURE;27276
GARENCIERES;27220;EURE;27277
GARENNES SUR EURE;27780;EURE;27278
GASNY;27620;EURE;27279
GAUCIEL;27930;EURE;27280
GAUDREVILLE LA RIVIERE;27190;EURE;27281
GAUVILLE LA CAMPAGNE;27930;EURE;27282
GISAY LA COUDRE;27330;EURE;27283
GISORS;27140;EURE;27284
GIVERNY;27620;EURE;27285
GIVERVILLE;27560;EURE;27286
GLISOLLES;27190;EURE;27287
GLOS SUR RISLE;27290;EURE;27288
LA GOULAFRIERE;27390;EURE;27289
GOUPILLIERES;27170;EURE;27290
GOURNAY LE GUERIN;27580;EURE;27291
GOUTTIERES;27410;EURE;27292
GOUVILLE;27240;EURE;27293
GRAINVILLE;27380;EURE;27294
GRAND CAMP;27270;EURE;27295
GRANDCHAIN;27410;EURE;27296
GRANDVILLIERS;27240;EURE;27297
GRAVERON SEMERVILLE;27110;EURE;27298
GRAVIGNY;27930;EURE;27299
GROSLEY SUR RISLE;27170;EURE;27300
GROSSOEUVRE;27220;EURE;27301
LE GROS THEIL;27370;EURE;27302
GUERNANVILLE;27160;EURE;27303
GUERNY;27720;EURE;27304
LA GUEROULDE;27160;EURE;27305
GUICHAINVILLE;27930;EURE;27306
GUISENIERS;27700;EURE;27307
GUITRY;27510;EURE;27308
L HABIT;27220;EURE;27309
HACQUEVILLE;27150;EURE;27310
HARCOURT;27800;EURE;27311
HARDENCOURT COCHEREL;27120;EURE;27312
LA HARENGERE;27370;EURE;27313
HARICOURT;27630;EURE;27314
HARQUENCY;27700;EURE;27315
HAUVILLE;27350;EURE;27316
LA HAYE AUBREE;27350;EURE;27317
LA HAYE DE CALLEVILLE;27800;EURE;27318
LA HAYE DE ROUTOT;27350;EURE;27319
LA HAYE DU THEIL;27370;EURE;27320
LA HAYE LE COMTE;27400;EURE;27321
LA HAYE MALHERBE;27400;EURE;27322
LA HAYE ST SYLVESTRE;27330;EURE;27323
HEBECOURT;27150;EURE;27324
HECMANVILLE;27800;EURE;27325
HECOURT;27120;EURE;27326
HECTOMARE;27110;EURE;27327
HELLENVILLIERS;27240;EURE;27328
HENNEZIS;27700;EURE;27329
HERQUEVILLE;27430;EURE;27330
HEUBECOURT HARICOURT;27630;EURE;27331
HEUDEBOUVILLE;27400;EURE;27332
HEUDICOURT;27860;EURE;27333
HEUDREVILLE EN LIEUVIN;27230;EURE;27334
HEUDREVILLE SUR EURE;27400;EURE;27335
LA HEUNIERE;27950;EURE;27336
HEUQUEVILLE;27700;EURE;27337
LES HOGUES;27910;EURE;27338
HONDOUVILLE;27400;EURE;27339
HONGUEMARE GUENOUVILLE;27310;EURE;27340
L HOSMES;27570;EURE;27341
HOUETTEVILLE;27400;EURE;27342
HOULBEC COCHEREL;27120;EURE;27343
HOULBEC PRES LE GROS THEI;27370;EURE;27344
LA HOUSSAYE;27410;EURE;27345
HOUVILLE EN VEXIN;27440;EURE;27346
HUEST;27930;EURE;27347
IGOVILLE;27460;EURE;27348
ILLEVILLE SUR MONTFORT;27290;EURE;27349
ILLIERS L EVEQUE;27770;EURE;27350
INCARVILLE;27400;EURE;27351
INFREVILLE;27520;EURE;27352
IRREVILLE;27930;EURE;27353
IVILLE;27110;EURE;27354
IVRY LA BATAILLE;27540;EURE;27355
JONQUERETS DE LIVET;27410;EURE;27356
JOUVEAUX;27260;EURE;27357
JOUY SUR EURE;27120;EURE;27358
JUIGNETTES;27250;EURE;27359
JUMELLES;27220;EURE;27360
LA LANDE ST LEGER;27210;EURE;27361
LANDEPEREUSE;27410;EURE;27362
LE LANDIN;27350;EURE;27363
LAUNAY;27470;EURE;27364
LERY;27690;EURE;27365
LETTEGUIVES;27910;EURE;27366
LIEUREY;27560;EURE;27367
LIGNEROLLES;27220;EURE;27368
LILLY;27480;EURE;27369
LISORS;27440;EURE;27370
LIVET SUR AUTHOU;27800;EURE;27371
LONGCHAMPS;27150;EURE;27372
LORLEAU;27480;EURE;27373
LOUVERSEY;27190;EURE;27374
LOUVIERS;27400;EURE;27375
LOUYE;27650;EURE;27376
LYONS LA FORET;27480;EURE;27377
MADELEINE DE NONANCOURT;27320;EURE;27378
MAINNEVILLE;27150;EURE;27379
MALLEVILLE SUR LE BEC;27800;EURE;27380
MALOUY;27300;EURE;27381
MANDEVILLE;27370;EURE;27382
MANDRES;27130;EURE;27383
MANNEVILLE LA RAOULT;27210;EURE;27384
MANNEVILLE SUR RISLE;27500;EURE;27385
LE MANOIR;27460;EURE;27386
MANTHELON;27240;EURE;27387
MARAIS VERNIER;27680;EURE;27388
MARBEUF;27110;EURE;27389
MARCILLY LA CAMPAGNE;27320;EURE;27390
MARCILLY SUR EURE;27810;EURE;27391
MARTAGNY;27150;EURE;27392
MARTAINVILLE;27210;EURE;27393
MARTOT;27340;EURE;27394
MELICOURT;27390;EURE;27395
MENESQUEVILLE;27850;EURE;27396
MENILLES;27120;EURE;27397
MENNEVAL;27300;EURE;27398
MERCEY;27950;EURE;27399
MEREY;27640;EURE;27400
LE MESNIL FUGUET;27930;EURE;27401
LE MESNIL HARDRAY;27190;EURE;27402
LE MESNIL JOURDAIN;27400;EURE;27403
MESNIL ROUSSET;27390;EURE;27404
MESNIL SOUS VIENNE;27150;EURE;27405
MESNIL SUR L ESTREE;27650;EURE;27406
MESNIL VERCLIVES;27440;EURE;27407
MEZIERES EN VEXIN;27510;EURE;27408
LES MINIERES;27240;EURE;27409
MISEREY;27930;EURE;27410
MOISVILLE;27320;EURE;27411
MONTAURE;27400;EURE;27412
MONTFORT SUR RISLE;27290;EURE;27413
MONTREUIL L ARGILLE;27390;EURE;27414
MORAINVILLE JOUVEAUX;27260;EURE;27415
BUIS SUR DAMVILLE;27240;EURE;27416
MORGNY;27150;EURE;27417
MORSAN;27800;EURE;27418
MOUETTES;27220;EURE;27419
MOUFLAINES;27420;EURE;27420
MOUSSEAUX NEUVILLE;27220;EURE;27421
MUIDS;27430;EURE;27422
MUZY;27650;EURE;27423
NAGEL SEEZ MESNIL;27190;EURE;27424
NASSANDRES;27550;EURE;27425
NEAUFLES ST MARTIN;27830;EURE;27426
NEAUFLES AUVERGNY;27250;EURE;27427
LE NEUBOURG;27110;EURE;27428
NEUILLY;27730;EURE;27429
LA NEUVE GRANGE;27150;EURE;27430
LA NEUVE LYRE;27330;EURE;27431
LA NEUVILLE DU BOSC;27890;EURE;27432
NEUVILLE SUR AUTHOU;27800;EURE;27433
NOARDS;27560;EURE;27434
LA NOE POULAIN;27560;EURE;27435
NOGENT LE SEC;27190;EURE;27436
NOJEON EN VEXIN;27150;EURE;27437
NONANCOURT;27320;EURE;27438
NORMANVILLE;27930;EURE;27439
NOTRE DAME DE L ISLE;27940;EURE;27440
NOTRE DAME D EPINE;27800;EURE;27441
NOTRE DAME DU HAMEL;27390;EURE;27442
LE NOYER EN OUCHE;27410;EURE;27444
NOYERS;27720;EURE;27445
ORMES;27190;EURE;27446
ORVAUX;27190;EURE;27447
PACY SUR EURE;27120;EURE;27448
PANILLEUSE;27510;EURE;27449
PANLATTE;27320;EURE;27450
PARVILLE;27180;EURE;27451
PERRIERS LA CAMPAGNE;27170;EURE;27452
PERRIERS SUR ANDELLE;27910;EURE;27453
PERRUEL;27910;EURE;27454
PIENCOURT;27230;EURE;27455
PINTERVILLE;27400;EURE;27456
PISEUX;27130;EURE;27457
PITRES;27590;EURE;27458
LES PLACES;27230;EURE;27459
PLAINVILLE;27300;EURE;27460
LES PLANCHES;27400;EURE;27461
LE PLANQUAY;27230;EURE;27462
PLASNES;27300;EURE;27463
LE PLESSIS GROHAN;27180;EURE;27464
LE PLESSIS HEBERT;27120;EURE;27465
LE PLESSIS STE OPPORTUNE;27170;EURE;27466
PONT AUDEMER;27500;EURE;27467
PONT AUTHOU;27290;EURE;27468
PONT DE L ARCHE;27340;EURE;27469
PONT ST PIERRE;27360;EURE;27470
PORTE JOIE;27430;EURE;27471
PORTES;27190;EURE;27472
PORT MORT;27940;EURE;27473
POSES;27740;EURE;27474
LA POTERIE MATHIEU;27560;EURE;27475
LES PREAUX;27500;EURE;27476
PRESSAGNY L ORGUEILLEUX;27510;EURE;27477
PREY;27220;EURE;27478
PROVEMONT;27150;EURE;27479
PUCHAY;27150;EURE;27480
PULLAY;27130;EURE;27481
LA PYLE;27370;EURE;27482
QUATREMARE;27400;EURE;27483
QUESSIGNY;27220;EURE;27484
QUILLEBEUF SUR SEINE;27680;EURE;27485
QUITTEBEUF;27110;EURE;27486
RADEPONT;27380;EURE;27487
RENNEVILLE;27910;EURE;27488
REUILLY;27930;EURE;27489
RICHEVILLE;27420;EURE;27490
ROMAN;27240;EURE;27491
ROMILLY LA PUTHENAYE;27170;EURE;27492
ROMILLY SUR ANDELLE;27610;EURE;27493
LE RONCENAY;27240;EURE;27494
LA ROQUETTE;27700;EURE;27495
ROSAY SUR LIEURE;27790;EURE;27496
ROUGEMONTIERS;27350;EURE;27497
ROUGE PERRIERS;27110;EURE;27498
LA ROUSSIERE;27270;EURE;27499
ROUTOT;27350;EURE;27500
ROUVRAY;27120;EURE;27501
RUGLES;27250;EURE;27502
LE SACQ;27240;EURE;27503
SACQUENVILLE;27930;EURE;27504
ST AGNAN DE CERNIERE;27390;EURE;27505
ST AMAND DES HAUTES TERRE;27370;EURE;27506
ST ANDRE DE L EURE;27220;EURE;27507
ST ANTONIN DE SOMMAIRE;27250;EURE;27508
ST AQUILIN D AUGERONS;27390;EURE;27509
ST AQUILIN DE PACY;27120;EURE;27510
ST AUBIN D ECROSVILLE;27110;EURE;27511
ST AUBIN DE SCELLON;27230;EURE;27512
ST AUBIN DES HAYES;27410;EURE;27513
ST AUBIN DU THENNEY;27270;EURE;27514
ST AUBIN LE GUICHARD;27410;EURE;27515
ST AUBIN LE VERTUEUX;27300;EURE;27516
ST AUBIN SUR GAILLON;27600;EURE;27517
ST AUBIN SUR QUILLEBEUF;27680;EURE;27518
STE BARBE SUR GAILLON;27600;EURE;27519
ST BENOIT DES OMBRES;27450;EURE;27520
ST CHRISTOPHE SUR AVRE;27820;EURE;27521
ST CHRISTOPHE SUR CONDE;27450;EURE;27522
ST CLAIR D ARCEY;27300;EURE;27523
STE COLOMBE LA COMMANDERI;27110;EURE;27524
STE COLOMBE PRES VERNON;27950;EURE;27525
STE CROIX SUR AIZIER;27500;EURE;27526
ST CYR DE SALERNE;27800;EURE;27527
LE VAUDREUIL;27100;EURE;27528
ST CYR LA CAMPAGNE;27370;EURE;27529
ST DENIS D AUGERONS;27390;EURE;27530
ST DENIS DES MONTS;27520;EURE;27531
ST DENIS DU BEHELAN;27160;EURE;27532
ST DENIS LE FERMENT;27140;EURE;27533
ST DIDIER DES BOIS;27370;EURE;27534
ST ELIER;27190;EURE;27535
ST ELOI DE FOURQUES;27800;EURE;27536
ST ETIENNE DU VAUVRAY;27430;EURE;27537
ST ETIENNE L ALLIER;27450;EURE;27538
ST ETIENNE SOUS BAILLEUL;27920;EURE;27539
STE GENEVIEVE LES GASNY;27620;EURE;27540
ST GEORGES DU MESNIL;27560;EURE;27541
ST GEORGES DU VIEVRE;27450;EURE;27542
ST GEORGES MOTEL;27710;EURE;27543
ST GERMAIN DE FRESNEY;27220;EURE;27544
ST GERMAIN DE PASQUIER;27370;EURE;27545
ST GERMAIN DES ANGLES;27930;EURE;27546
ST GERMAIN LA CAMPAGNE;27230;EURE;27547
ST GERMAIN SUR AVRE;27320;EURE;27548
ST GERMAIN VILLAGE;27500;EURE;27549
ST GREGOIRE DU VIEVRE;27450;EURE;27550
ST JEAN DE LA LECQUERAYE;27560;EURE;27551
ST JEAN DU THENNEY;27270;EURE;27552
ST JULIEN DE LA LIEGUE;27600;EURE;27553
ST JUST;27950;EURE;27554
ST LAURENT DES BOIS;27220;EURE;27555
ST LAURENT DU TENCEMENT;27390;EURE;27556
ST LEGER DE ROTES;27300;EURE;27557
ST LEGER DU GENNETEY;27520;EURE;27558
ST LEGER SUR BONNEVILLE;27210;EURE;27559
ST LUC;27930;EURE;27560
ST MACLOU;27210;EURE;27561
ST MARCEL;27950;EURE;27562
ST MARDS DE BLACARVILLE;27500;EURE;27563
ST MARDS DE FRESNE;27230;EURE;27564
STE MARGUERITE DE L AUTEL;27160;EURE;27565
STE MARGUERITE EN OUCHE;27410;EURE;27566
STE MARIE DE VATIMESNIL;27150;EURE;27567
STE MARTHE;27190;EURE;27568
ST MARTIN DU TILLEUL;27300;EURE;27569
ST MARTIN LA CAMPAGNE;27930;EURE;27570
